Buoy,Loggerid,Start,End,Live,Live_wave,No_pressure_records,No_hmax_records,Comment
62091,347_Wavesense  ,11/02/2022 11:00,23/02/2024 19:00,1,9,17797,17797,
62091,8704_CR6       ,07/03/2022 08:00,23/02/2024 19:00,0,6,16255,16255,
62091,12105_CR6      ,26/02/2024 08:00,14/02/2025 09:00,0,0,8386,8386,Seaview & Aanderaa
62091,7577_CR6       ,26/02/2024 08:00,13/02/2025 23:00,1,6,8373,8373,Seabird & DW
62091,22221_CR6      ,24/02/2025 10:00,,0,0,4325,4325,Seaview & RBR SST
62091,12145_CR6      ,24/02/2025 10:00,,1,6,4325,4325,Seabird & DW
62092,7577_CR6       ,01/01/2022 01:00,21/01/2022 14:00,0,6,494,494,
62092,332_Wavesense  ,01/01/2022 01:00,21/01/2022 14:00,1,0,494,494,
62092,314_Wavesense  ,21/01/2022 15:00,16/01/2024 13:00,1,0,17382,17382,
62092,12146_CR6      ,21/01/2022 15:00,16/01/2024 13:00,0,6,17284,17284,
62092,12147_CR6      ,17/01/2024 00:00,,0,6,14029,14029,No MD File Received
62092,427_Wavesense  ,17/01/2024 00:00,,1,0,14024,14024,No MD File Received
62093,12145_CR6      ,01/01/2022 01:00,21/07/2022 10:00,0,6,4829,4829,
62093,428_Wavesense  ,01/01/2022 01:00,21/07/2022 10:00,1,0,4825,4825,
62093,427_Wavesense  ,21/07/2022 15:00,22/08/2023 18:00,1,0,9516,9516,
62093,12147_CR6      ,21/07/2022 15:00,22/08/2023 18:00,0,6,9438,9438,
62093,189_Wavesense  ,23/08/2023 11:00,01/08/2025 15:00,1,0,16968,16968,
62093,12144_CR6      ,23/08/2023 11:00,01/08/2025 15:00,0,6,17018,17018,
62093,13443_CR6      ,05/08/2025 08:00,,0,0,439,439,Seaview &  RBR
62093,12146_CR6      ,05/08/2025 08:00,,1,6,439,439,DW & Seabird
62094,12144_CR6      ,01/01/2022 01:00,27/01/2023 14:00,0,6,9382,9382,
62094,189_Wavesense  ,01/01/2022 01:00,27/01/2023 14:00,1,9,9380,9380,
62094,12142_CR6      ,27/01/2023 17:00,13/07/2024 09:00,0,9,12697,12697,Seaview sensor
62094,12143_CR6      ,27/01/2023 17:00,13/07/2024 09:00,1,6,12784,12784,
62094,8704_CR6       ,15/07/2024 08:00,,0,0,9261,9261,DW & Seabird but wave data suspect
62094,347_Wavesense  ,15/07/2024 08:00,,1,1,9701,9701,Fugro & RBR
62095,427_Wavesense  ,01/01/2022 01:00,06/01/2022 12:00,1,0,132,132,
62095,12147_CR6      ,01/01/2022 01:00,14/01/2022 14:00,0,6,326,326,
62095,332_Wavesense  ,26/04/2022 11:00,23/08/2023 16:00,0,0,11607,11607,
62095,7577_CR6       ,26/04/2022 11:00,03/05/2023 03:00,1,6,8837,8837,"Seabird SST, Salinity"
62095,12145_CR6      ,24/08/2023 09:00,23/04/2024 14:00,1,6,5835,5835,"Seabird SST, Salinity"
62095,341_Wavesense  ,24/08/2023 09:00,23/04/2024 14:00,0,0,5835,5835,
62095,12146_CR6      ,24/04/2024 08:00,12/05/2025 11:00,1,6,9195,9195,DW & SB
62095,13443_CR6      ,24/04/2024 08:00,12/05/2025 11:00,0,0,9194,9194,SV & Aanderaa
62095,12142_CR6      ,12/05/2025 12:00,,0,0,2475,2475,SV & RBR
62095,12143_CR6      ,12/05/2025 12:00,,1,6,2475,2475,DW & SB
