rowid,qc_ind,stno,time,latitude,latitude_1,latitude_2,longitude,longitude_1,longitude_2,airpressure,airpressure_1,airpressure_2,airtemp,airtemp_1,airtemp_2,conductivity_16,hm0,hm0a,hm0b,hmax,humidity,humidity_1,humidity_2,mdir,mdira,mdirb,s1mean,salinity_16,seatemp_16,seatemp_aa,seatemp_aa_1,seatemp_aa_2,sprtp,thhf,thmax,thtp,tm01,tm02,tm02a,tm02b,tp,ts,winddir,winddir_1,winddir_2,windgust,windgust_1,windgust_2,windsp,windsp_1,windsp_2,source_file
1,1,62091,2023-01-01 00:00:00,,53.46768,53.46753,,-5.416199,-5.416199,994.4824,994.4824,994.6777,9.14063,9.14063,8.99414,,1.5625,0.7813,1.4063,2.0313,79.98047,79.98047,79.49219,182.8125,181.4063,182.8125,,,,11.41846,11.41846,11.42578,,,,,,4.8047,,,11.9531,,224.6484,0.0,224.6484,29.15767,0.0,29.15767,24.03229,0.0,24.03229,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 01:00:00,,53.46783,53.46768,,-5.416199,-5.416199,995.4346,995.4346,995.4712,8.75,8.75,8.65234,,1.7969,0.7813,1.6406,2.3438,79.10156,79.10156,78.80859,191.25,180.0,192.6563,,,,11.42029,11.42029,11.42395,,,,,,4.6875,,,4.9219,,221.8359,0.0,221.8359,28.70209,0.0,28.70209,23.00723,0.0,23.00723,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 02:00:00,,53.46799,53.46783,,-5.416473,-5.416199,995.459,995.459,995.5322,8.79883,8.79883,8.65234,,1.7969,0.7031,1.6406,2.1875,80.95703,80.95703,80.85938,189.8438,180.0,192.6563,,,,11.42761,11.42761,11.4386,,,,,,4.6875,,,11.6016,,207.7734,0.0,207.7734,25.85465,0.0,25.85465,20.27369,0.0,20.27369,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 03:00:00,,53.46799,53.46783,,-5.416473,-5.416473,996.3135,996.3135,996.4478,8.99414,8.99414,8.79883,,1.7969,0.7813,1.5625,2.1875,79.98047,79.98047,79.98047,191.25,185.625,191.25,,,,11.42029,11.42029,11.42761,,,,,,4.5703,,,10.7813,,216.5625,0.0,216.5625,30.06884,0.0,30.06884,24.82958,0.0,24.82958,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 04:00:00,,53.46799,53.46799,,-5.416473,-5.416473,996.3623,996.3623,996.5332,8.94531,8.94531,8.79883,,1.9531,0.625,1.875,2.6563,83.00781,83.00781,83.00781,191.25,180.0,192.6563,,,,11.35254,11.35254,11.36169,,,,,,4.6875,,,4.6875,,211.6406,0.0,211.6406,27.4492,0.0,27.4492,23.80449,0.0,23.80449,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 05:00:00,,53.46799,53.46799,,-5.416473,-5.416473,996.8628,996.8628,996.9116,8.94531,8.94531,8.84766,,2.1094,0.9375,1.875,3.125,80.17578,80.17578,80.07813,191.25,184.2188,191.25,,,,11.3031,11.3031,11.30859,,,,,,4.9219,,,10.4297,,213.0469,0.0,213.0469,26.31025,0.0,26.31025,21.64045,0.0,21.64045,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 06:00:00,,53.46799,53.46799,,-5.416473,-5.416473,997.3389,997.3389,997.4243,9.28711,9.28711,9.14063,,2.1094,1.0156,1.875,2.8125,77.14844,77.14844,77.14844,189.8438,180.0,192.6563,,,,11.32324,11.32324,11.33057,,,,,,5.1563,,,11.0156,,219.0234,0.0,219.0234,23.34891,0.0,23.34891,18.56523,0.0,18.56523,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 07:00:00,,53.46783,53.46783,,-5.416199,-5.416473,997.937,997.937,997.9858,9.0918,9.0918,8.94531,,2.1875,1.3281,1.7969,3.4375,78.32031,78.32031,78.22266,181.4063,174.375,184.2188,,,,11.34888,11.34888,11.36169,,,,,,5.625,,,11.3672,,213.3984,0.0,213.3984,24.94347,0.0,24.94347,21.07096,0.0,21.07096,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 08:00:00,,53.46768,53.46783,,-5.416199,-5.416199,998.0591,998.0591,998.1934,9.33594,9.33594,9.23828,,2.2656,1.25,1.875,2.9688,76.5625,76.5625,76.46484,184.2188,177.1875,185.625,,,,11.36353,11.36353,11.36719,,,,,,5.7422,,,12.7734,,204.2578,0.0,204.2578,22.43774,0.0,22.43774,15.94561,0.0,15.94561,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 09:00:00,,53.46768,53.46768,,-5.416199,-5.416199,998.3887,998.3887,998.4497,9.43359,9.43359,9.28711,,2.1094,1.4063,1.6406,3.2813,76.66016,76.66016,76.66016,180.0,175.7813,184.2188,,,,11.35437,11.35437,11.36353,,,,,,5.9766,,,12.6563,,201.7969,0.0,201.7969,24.03229,0.0,24.03229,19.70421,0.0,19.70421,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 10:00:00,,53.46768,53.46768,,-5.416199,-5.416199,998.7671,998.7671,998.8037,8.70117,8.70117,8.50586,,1.875,1.1719,1.4844,2.5,79.49219,79.49219,78.80859,184.2188,181.4063,187.0313,,,,11.31775,11.31775,11.33423,,,,,,5.7422,,,12.5391,,210.2344,0.0,210.2344,23.9184,0.0,23.9184,18.45134,0.0,18.45134,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 11:00:00,,53.46768,53.46768,,-5.416199,-5.416199,999.9634,999.9634,999.9146,8.94531,8.94531,8.89648,,1.875,1.1719,1.4844,2.1875,73.24219,73.24219,72.94922,182.8125,180.0,185.625,,,,11.32507,11.32507,11.34155,,,,,,5.7422,,,13.7109,,238.3594,0.0,238.3594,23.6906,0.0,23.6906,19.8181,0.0,19.8181,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 12:00:00,,53.46768,53.46753,,-5.416199,-5.416199,1000.94,1000.94,1000.989,8.60352,8.60352,8.55469,,1.7188,0.9375,1.4063,2.1875,79.00391,79.00391,78.80859,185.625,178.5938,187.0313,,,,11.30676,11.30676,11.32141,,,,,,5.1563,,,12.5391,,246.0938,0.0,246.0938,24.37398,0.0,24.37398,19.02083,0.0,19.02083,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 13:00:00,,53.46783,53.46768,,-5.416199,-5.416199,1001.379,1001.379,1001.416,8.4082,8.4082,8.31055,,1.7969,0.7813,1.5625,2.3438,78.125,78.125,78.02734,187.0313,178.5938,188.4375,,,,11.30676,11.30676,11.31592,,,,,,5.1563,,,11.9531,,253.125,0.0,253.125,18.56523,0.0,18.56523,12.98428,0.0,12.98428,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 14:00:00,,53.46783,53.46783,,-5.416199,-5.416199,1001.855,1001.855,1001.917,8.60352,8.60352,8.45703,,1.9531,0.8594,1.7188,2.6563,75.97656,75.97656,75.68359,187.0313,182.8125,187.0313,,,,11.30127,11.30127,11.30676,,,,,,5.3906,,,12.0703,,246.7969,0.0,246.7969,19.36252,0.0,19.36252,15.26221,0.0,15.26221,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 15:00:00,,53.46799,53.46783,,-5.416473,-5.416199,1002.222,1002.222,1002.185,8.45703,8.45703,8.35938,,2.0313,0.9375,1.7969,2.9688,78.22266,78.22266,77.92969,182.8125,184.2188,182.8125,,,,11.30127,11.30127,11.30127,,,,,,5.3906,,,10.4297,,264.375,0.0,264.375,17.42625,0.0,17.42625,14.69272,0.0,14.69272,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 16:00:00,,53.46799,53.46799,,-5.416473,-5.416199,1002.515,1002.515,1002.502,7.82227,7.82227,7.72461,,2.1094,0.7813,1.9531,2.8125,83.49609,83.49609,83.20313,188.4375,187.0313,188.4375,,,,11.32874,11.32874,11.34705,,,,,,5.1563,,,9.0234,,275.625,0.0,275.625,15.94561,0.0,15.94561,12.18699,0.0,12.18699,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 17:00:00,,53.46799,53.46799,,-5.416473,-5.416473,1002.588,1002.588,1002.612,7.82227,7.82227,7.72461,,2.1094,0.8594,1.9531,2.9688,79.98047,79.98047,79.6875,189.8438,181.4063,191.25,,,,11.34888,11.34888,11.33972,,,,,,5.5078,,,9.375,,277.3828,0.0,277.3828,14.12325,0.0,14.12325,11.95919,0.0,11.95919,2023_62091_zzqc_fugrobuoy.csv
1,1,62091,2023-01-01 18:00:00,,53.46783,53.46799,,-5.416473,-5.416473,1003.174,1003.174,1003.247,7.87109,7.87109,7.77344,,2.0313,1.0156,1.7969,2.8125,79.58984,79.58984,79.19922,188.4375,177.1875,191.25,,,,11.37451,11.37451,11.35254,,,,,,5.625,,,9.8438,,283.0078,0.0,283.0078,13.43986,0.0,13.43986,11.16192,0.0,11.16192,2023_62091_zzqc_fugrobuoy.csv
