rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file
1,1,62091,12145_CR6      ,2025-02-24 10:00:00,0,53.46768,53.46768,53.46738,0,-5.4162,-5.4162,-5.4162,1,1005.432,1005.432,1005.444,1,9.62891,9.62891,9.23828,0,3.67168,1,1.7578,0,0.9375,0,1.5234,1,2.6563,1,78.32031,78.32031,77.34375,1,194.0625,0,188.4375,0,196.875,0,0.0254,0,34.57207,9,,1,8.98498,8.98498,8.97583,0,102.6563,0,61.875,0,9.375,0,195.4688,0,6.2109,0,5.5078,0,13.125,0,4.8047,1,10.5469,0,7.6172,1,234.4922,234.4922,229.2187,0,18.22354,18.22354,18.10965,1,13.78155,13.78155,13.89545,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 11:00:00,0,53.46738,53.46738,53.46722,0,-5.4162,-5.4162,-5.41592,1,1005.859,1005.859,1005.872,1,9.38477,9.38477,9.04297,0,3.67102,1,1.6406,0,0.9375,0,1.4063,1,2.5,1,81.83594,81.83594,81.15234,1,194.0625,0,188.4375,0,198.2813,0,0.0215,0,34.56207,9,,1,8.98498,8.98498,8.97949,0,203.9063,0,75.9375,0,10.7813,0,177.1875,0,6.5625,0,5.7422,0,14.1797,0,4.8047,1,20.0391,0,8.2031,1,225.0,225.0,218.3203,0,21.18487,21.18487,21.52656,1,17.08456,17.08456,16.62899,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 12:00:00,0,53.46722,53.46722,53.46722,0,-5.41592,-5.41592,-5.4162,1,1006.36,1006.36,1006.36,1,9.38477,9.38477,9.04297,0,3.67009,1,1.5234,0,0.8203,0,1.2891,1,2.1875,1,84.08203,84.08203,83.78906,1,192.6563,0,188.4375,0,195.4688,0,0.0215,0,34.55673,9,,1,8.98132,8.98132,8.974,0,175.7813,0,75.9375,0,6.7969,0,191.25,0,6.3281,0,5.5078,0,14.1797,0,4.8047,1,20.0391,0,7.6172,1,218.3203,218.3203,210.5859,0,17.65405,17.65405,16.97067,1,13.89545,13.89545,13.21208,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 13:00:00,0,53.46722,53.46722,53.46722,0,-5.4162,-5.4162,-5.4162,1,1006.396,1006.396,1006.421,1,9.53125,9.53125,9.23828,0,3.67088,1,1.4063,0,0.7031,0,1.1719,1,2.3438,1,83.49609,83.49609,83.20313,1,191.25,0,182.8125,0,194.0625,0,0.0195,0,34.55544,9,,1,8.98682,8.98682,8.98498,0,164.5313,0,85.7813,0,5.5078,0,178.5938,0,6.4453,0,5.625,0,13.9453,0,4.9219,1,20.0391,0,8.3203,1,210.5859,210.5859,203.5547,0,16.85678,16.85678,15.8317,1,12.41479,12.41479,11.95919,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 14:00:00,0,53.46722,53.46722,53.46722,0,-5.4162,-5.4162,-5.4162,1,1005.981,1005.981,1005.981,1,9.67773,9.67773,9.33594,0,3.68133,1,1.2891,0,0.5859,0,1.0547,1,1.875,1,82.51953,82.51953,82.51953,1,187.0313,0,177.1875,0,189.8438,0,0.0195,0,34.57817,9,,1,9.12415,9.12415,9.07288,0,135.0,0,67.5,0,9.7266,0,181.4063,0,5.9766,0,5.2734,0,14.2969,0,4.6875,1,16.6406,0,7.5,1,207.0703,207.0703,198.6328,0,20.84318,20.84318,19.8181,1,16.40119,16.40119,15.71781,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 15:00:00,0,53.46722,53.46722,53.46738,0,-5.4162,-5.4162,-5.41592,1,1005.469,1005.469,1005.469,1,9.58008,9.58008,9.28711,0,3.68634,1,1.5234,0,0.8203,0,1.2891,1,2.1875,1,86.32813,86.32813,85.9375,1,192.6563,0,185.625,0,195.4688,0,0.0254,0,34.59175,9,,1,9.13513,9.13513,9.11316,0,165.9375,0,49.2188,0,10.8984,0,181.4063,0,5.9766,0,5.1563,0,14.1797,0,4.3359,1,18.1641,0,7.3828,1,193.7109,193.7109,192.6562,0,20.95707,20.95707,20.27369,1,15.71781,15.71781,16.0595,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 16:00:00,0,53.46738,53.46738,53.46753,0,-5.41592,-5.41592,-5.41592,1,1005.334,1005.334,1005.334,1,9.87305,9.87305,9.58008,0,3.68618,1,1.6406,0,0.8203,0,1.4063,1,2.8125,1,82.22656,82.22656,81.44531,1,188.4375,0,184.2188,0,189.8438,0,0.0293,0,34.59175,9,,1,9.12415,9.12415,9.11133,0,156.0938,0,63.2813,0,9.1406,0,163.125,0,5.3906,0,4.9219,0,14.0625,0,4.3359,1,18.1641,0,6.4453,1,208.8281,208.8281,207.0703,0,25.62685,25.62685,24.94347,1,19.70421,19.70421,20.38758,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 17:00:00,0,53.46753,53.46753,53.46768,0,-5.41592,-5.41592,-5.41592,1,1005.75,1005.75,1005.774,1,7.62695,7.62695,7.08984,0,3.68513,1,1.6406,0,0.7031,0,1.5234,1,2.6563,1,88.76953,88.76953,87.89063,1,201.0938,0,185.625,0,205.3125,0,0.0332,0,34.5858,9,,1,9.104,9.104,9.10584,0,237.6563,0,98.4375,0,5.1563,0,191.25,0,5.0391,0,4.5703,0,13.8281,0,4.1016,1,16.6406,0,5.8594,1,230.625,230.625,227.1094,0,21.18487,21.18487,21.75436,1,14.46494,14.46494,14.80663,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 18:00:00,0,53.46768,53.46768,53.46783,0,-5.41592,-5.41592,-5.4162,1,1005.603,1005.603,1005.603,1,8.79883,8.79883,8.45703,0,3.68137,1,1.7578,0,0.8203,0,1.5234,1,2.6563,1,78.80859,78.80859,77.44141,1,198.2813,0,184.2188,0,201.0938,0,0.0313,0,34.58328,9,,1,9.06006,9.06006,9.06921,0,188.4375,0,26.7188,0,5.5078,0,202.5,0,5.2734,0,4.6875,0,14.5313,0,4.2188,1,16.6406,0,5.9766,1,226.0547,226.0547,225.7031,0,21.75436,21.75436,22.20994,1,16.17339,16.17339,17.31236,2025_62091_zzqc_fugrobuoy.csv
1,1,62091,12145_CR6      ,2025-02-24 19:00:00,0,53.46783,53.46783,53.46783,0,-5.4162,-5.4162,-5.4162,1,1005.994,1005.994,1006.006,1,8.79883,8.79883,8.50586,0,3.66948,1,1.6406,0,0.5859,0,1.5234,1,2.5,1,79.98047,79.98047,78.71094,1,202.5,0,188.4375,0,205.3125,0,0.0332,0,34.55002,9,,1,8.97583,8.97583,8.974,0,90.0,0,70.3125,0,6.0938,0,196.875,0,4.9219,0,4.5703,0,12.7734,0,4.2188,1,9.9609,0,5.8594,1,230.625,230.625,230.625,0,19.932,19.932,20.84318,1,15.26221,15.26221,16.51508,2025_62091_zzqc_fugrobuoy.csv
