rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62091,347_Wavesense  ,2023-12-20 00:00:00,0,53.46722,53.46722,53.46692,0,-5.415649,-5.415649,-5.415924,1,1019.91,1019.91,1019.836,1,9.48242,9.48242,9.33594,9,,1,2.0313,0,0.0781,0,2.0313,1,2.9688,1,80.76172,80.76172,80.95703,1,260.1563,0,206.7188,0,260.1563,0,0.0293,0,25.0,9,,1,12.09595,12.09595,12.12158,0,55.8984,0,284.0625,0,4.8047,0,247.5,0,4.5703,0,4.4531,0,14.2969,0,4.4531,1,5.1563,0,4.9219,1,277.7344,276.6797,277.7344,0,35.87759,38.49723,35.87759,1,27.9048,25.39907,27.9048,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-12-20 00:00:00,0,51.21457,51.21457,51.21457,0,-10.54901,-10.54901,-10.54901,1,1031.323,1031.238,1031.323,1,11.04492,11.04492,11.19141,9,,1,4.6875,0,3.2031,0,3.3594,1,8.2813,1,82.22656,8.88672,82.22656,1,300.9375,0,302.3438,0,299.5313,0,0.0313,0,35.21004,9,,1,11.42212,16.61316,11.42212,0,20.7422,0,156.0938,0,9.4922,0,305.1563,0,8.4375,0,7.7344,0,12.4219,0,6.0938,1,12.6563,0,10.5469,1,292.8516,299.5312,292.8516,0,29.95495,30.63833,29.95495,1,24.60178,22.43774,24.60178,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-12-20 00:00:00,0,51.6908,51.69095,51.6908,0,-6.709015,-6.709015,-6.709015,1,1026.306,1026.306,1026.318,1,10.26367,10.26367,10.36133,9,,1,2.1094,0,0.5859,0,2.1094,1,3.4375,1,79.10156,79.10156,77.83203,1,265.7813,0,247.5,0,267.1875,0,0.0352,9,,9,,1,11.77002,11.77002,11.76636,0,111.0938,0,250.3125,0,5.8594,0,267.1875,0,5.2734,0,4.9219,0,12.1875,0,4.8047,1,5.5078,0,5.9766,1,289.6875,284.0625,289.6875,0,30.98002,26.08245,30.98002,1,23.34891,16.2873,23.34891,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,341_Wavesense  ,2023-12-20 00:00:00,0,53.07935,53.07935,53.07919,0,-15.88809,-15.88809,-15.88754,1,1031.787,1031.787,1031.726,1,10.84961,10.84961,11.14258,9,,1,5.2344,0,3.75,0,3.5938,1,6.9141,1,88.57422,88.57422,88.28125,1,309.375,0,313.5938,0,305.1563,0,0.0313,0,35.53429,9,,1,12.07764,12.07764,12.06848,0,25.6641,0,172.9688,0,10.1953,0,317.8125,0,8.9063,0,8.2031,0,12.1875,0,6.4453,1,12.5391,0,10.7813,1,292.1484,290.3906,292.1484,0,33.37186,34.39693,33.37186,1,23.80449,21.98214,23.80449,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,12145_CR6      ,2023-12-20 00:00:00,0,53.07935,53.07935,53.07935,0,-15.88809,-15.88809,-15.88809,1,1031.787,1031.787,1031.726,1,10.84961,10.84961,11.14258,9,,1,5.1563,0,3.8672,0,3.3984,1,8.5938,1,88.57422,88.57422,88.28125,1,302.3438,0,307.9688,0,296.7188,0,0.0313,0,35.53429,9,,1,12.07764,12.07764,12.06848,0,84.375,0,288.2813,0,11.25,0,302.3438,0,8.9063,0,8.0859,0,12.0703,0,6.2109,1,11.7188,0,10.7813,1,292.1484,290.3906,292.1484,0,33.37186,34.39693,33.37186,1,23.80449,21.98214,23.80449,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-12-20 01:00:00,0,53.46768,53.46768,53.46722,0,-5.415924,-5.415924,-5.415649,1,1019.885,1019.885,1019.91,1,9.82422,9.82422,9.67773,9,,1,2.1875,0,0.0781,0,2.1875,1,3.4375,1,79.00391,79.00391,79.29688,1,260.1563,0,236.25,0,260.1563,0,0.0313,0,25.0,9,,1,12.1344,12.1344,12.16003,0,57.3047,0,243.2813,0,5.1563,0,255.9375,0,4.6875,0,4.5703,0,14.5313,0,4.5703,1,5.1563,0,5.1563,1,274.5703,270.0,274.5703,0,34.28304,35.19422,34.28304,1,26.42414,24.03229,26.42414,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-12-20 01:00:00,0,51.21442,51.21442,51.21442,0,-10.54901,-10.54901,-10.54901,1,1031.384,1031.226,1031.384,1,10.6543,10.6543,10.80078,9,,1,4.5313,0,3.125,0,3.2813,1,5.9375,1,88.18359,8.49609,88.18359,1,299.5313,0,300.9375,0,298.125,0,0.0273,0,35.20859,9,,1,11.41846,16.61316,11.41846,0,29.8828,0,199.6875,0,10.8984,0,303.75,0,8.4375,0,7.7344,0,12.3047,0,6.2109,1,13.125,0,10.1953,1,298.4766,304.1016,298.4766,0,31.77731,33.59966,31.77731,1,24.48789,22.32385,24.48789,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-12-20 01:00:00,0,51.69095,51.69095,51.69095,0,-6.709015,-6.709015,-6.709015,1,1026.123,1026.123,1026.038,1,10.36133,10.36133,10.41016,9,,1,1.9922,0,0.4688,0,1.9922,1,2.9688,1,79.49219,79.49219,78.51563,1,268.5938,0,246.0938,0,270.0,0,0.0352,9,,9,,1,11.76086,11.76086,11.7627,0,106.875,0,296.7188,0,6.0938,0,258.75,0,5.1563,0,4.8047,0,12.1875,0,4.6875,1,6.2109,0,5.9766,1,282.6563,276.6797,282.6563,0,30.18273,24.37398,30.18273,1,23.57671,16.17339,23.57671,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-12-20 01:00:00,0,53.07904,53.07904,53.07904,0,-15.88782,-15.88782,-15.88782,1,1032.166,1032.166,1032.08,1,11.14258,11.14258,11.33789,9,,1,5.0391,0,3.75,0,3.3984,1,9.375,1,84.76563,84.76563,84.96094,1,302.3438,0,307.9688,0,295.3125,0,0.0313,0,35.53307,9,,1,12.07031,12.07031,12.06299,0,97.0313,0,265.7813,0,13.0078,0,305.1563,0,8.7891,0,8.0859,0,11.9531,0,6.2109,1,11.7188,0,10.3125,1,293.2031,300.9375,293.2031,0,33.94135,30.86613,33.94135,1,22.89332,18.10965,22.89332,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-12-20 01:00:00,0,53.07904,53.07904,53.07935,0,-15.88782,-15.88782,-15.88809,1,1032.166,1032.166,1032.08,1,11.14258,11.14258,11.33789,9,,1,5.5469,0,4.4531,0,3.2813,1,7.6172,1,84.86328,84.86328,84.96094,1,309.375,0,315.0,0,295.3125,0,0.0293,0,35.53307,9,,1,12.07031,12.07031,12.06299,0,25.3125,0,156.0938,0,10.6641,0,316.4063,0,9.4922,0,8.6719,0,12.0703,0,6.3281,1,12.3047,0,11.25,1,293.2031,300.9375,293.2031,0,33.94135,30.86613,33.94135,1,22.89332,18.10965,22.89332,2023_62095_zzqc_fugrobuoy.csv,62095_2023
