rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62091,347_Wavesense  ,2023-12-16 00:00:00,0,53.46799,53.46799,53.46814,0,-5.416473,-5.416473,-5.416748,1,1033.337,1033.337,1033.459,1,11.63086,11.63086,11.43555,9,,1,1.4063,0,0.0781,0,1.4063,1,1.7188,1,87.30469,87.30469,87.40234,1,191.25,0,135.0,0,191.25,0,0.0254,0,25.0,9,,1,12.1582,12.1582,12.18384,0,54.4922,0,7.0313,0,4.6875,0,182.8125,0,3.9844,0,3.8672,0,13.3594,0,3.8672,1,5.1563,0,4.8047,1,210.5859,210.2344,210.5859,0,21.86825,22.20994,21.86825,1,18.79303,17.99574,18.79303,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-12-16 00:00:00,0,51.21518,51.21518,51.21503,0,-10.54984,-10.54984,-10.54984,1,1036.011,1036.243,1036.011,1,10.99609,10.99609,11.14258,9,,1,3.9844,0,3.2031,0,2.4219,1,5.625,1,95.89844,16.89453,95.89844,1,295.3125,0,306.5625,0,267.1875,0,0.0234,0,35.2047,9,,1,11.38916,16.61316,11.38916,0,32.6953,0,358.5938,0,13.125,0,316.4063,0,9.4922,0,8.3203,0,13.5938,0,5.625,1,15.4688,0,12.1875,1,203.5547,217.2656,203.5547,0,22.89332,24.03229,22.89332,1,18.33743,16.62899,18.33743,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62095,12145_CR6      ,2023-12-16 00:00:00,0,53.08087,53.08087,53.08072,0,-15.88864,-15.88864,-15.88864,1,1024.756,1024.756,1024.829,1,12.26563,12.26563,12.46094,9,,1,5.3906,0,3.6328,0,3.9844,1,8.5938,1,91.99219,91.99219,92.08984,1,270.0,0,305.1563,0,239.0625,0,0.0352,0,35.60371,9,,1,12.43835,12.43835,12.43103,0,113.9063,0,194.0625,0,9.8438,0,309.375,0,8.6719,0,7.9688,0,12.1875,0,6.4453,1,12.5391,0,10.5469,1,221.8359,196.875,221.8359,0,34.62473,33.82744,34.62473,1,25.39907,20.27369,25.39907,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-12-16 00:00:00,0,53.08087,53.08087,53.08163,0,-15.88864,-15.88864,-15.88947,1,1024.756,1024.756,1024.829,1,12.26563,12.26563,12.46094,9,,1,5.3906,0,3.9844,0,3.6719,1,7.8516,1,91.99219,91.99219,92.08984,1,275.625,0,302.3438,0,243.2813,0,0.0293,0,35.60371,9,,1,12.43835,12.43835,12.43103,0,33.3984,0,106.875,0,11.6016,0,313.5938,0,9.2578,0,8.4375,0,12.7734,0,6.5625,1,13.4766,0,10.7813,1,221.8359,196.875,221.8359,0,34.62473,33.82744,34.62473,1,25.39907,20.27369,25.39907,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-12-16 01:00:00,0,53.46783,53.46783,53.46799,0,-5.416473,-5.416473,-5.416473,1,1032.886,1032.886,1032.959,1,11.48438,11.48438,11.28906,9,,1,1.25,0,0.0781,0,1.25,1,1.875,1,86.62109,86.62109,86.62109,1,187.0313,0,194.0625,0,187.0313,0,0.0215,0,25.0,9,,1,12.11426,12.11426,12.14355,0,49.9219,0,47.8125,0,5.3906,0,154.6875,0,3.9844,0,3.75,0,12.4219,0,3.75,1,5.3906,0,4.8047,1,205.6641,206.0156,205.6641,0,23.9184,24.94347,23.9184,1,20.04589,19.36252,20.04589,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-12-16 01:00:00,0,51.21518,51.21518,51.21518,0,-10.54984,-10.54984,-10.54984,1,1035.583,1035.205,1035.583,1,11.33789,11.33789,11.48438,9,,1,4.0625,0,3.3594,0,2.2656,1,5.3125,1,93.84766,17.38281,93.84766,1,299.5313,0,307.9688,0,275.625,0,0.0215,0,35.2076,9,,1,11.39099,16.61316,11.39099,0,25.6641,0,36.5625,0,14.4141,0,310.7813,0,9.8438,0,8.6719,0,13.3594,0,5.625,1,15.2344,0,12.6563,1,194.0625,207.4219,194.0625,0,22.55163,22.32385,22.55163,1,17.65405,15.71781,17.65405,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62095,341_Wavesense  ,2023-12-16 01:00:00,0,53.07965,53.07965,53.08072,0,-15.88809,-15.88809,-15.88864,1,1024.365,1024.365,1024.402,1,12.46094,12.46094,12.60742,9,,1,4.8438,0,3.125,0,3.75,1,7.6172,1,91.30859,91.30859,91.50391,1,264.375,0,298.125,0,241.875,0,0.0313,0,35.55069,9,,1,12.20215,12.20215,12.19849,0,27.7734,0,316.4063,0,9.9609,0,250.3125,0,8.6719,0,7.9688,0,12.6563,0,6.6797,1,9.375,0,10.3125,1,221.8359,201.4453,221.8359,0,36.56097,34.51084,36.56097,1,25.28516,19.24861,25.28516,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,12145_CR6      ,2023-12-16 01:00:00,0,53.0798,53.0798,53.07965,0,-15.88809,-15.88809,-15.88809,1,1024.365,1024.365,1024.402,1,12.46094,12.46094,12.60742,9,,1,5.1563,0,3.5156,0,3.8672,1,8.5938,1,91.30859,91.30859,91.50391,1,271.4063,0,309.375,0,240.4688,0,0.0332,0,35.55069,9,,1,12.20215,12.20215,12.19849,0,102.6563,0,153.2813,0,11.0156,0,303.75,0,8.5547,0,7.8516,0,12.3047,0,6.4453,1,11.7188,0,10.1953,1,221.8359,201.4453,221.8359,0,36.56097,34.51084,36.56097,1,25.28516,19.24861,25.28516,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-12-16 02:00:00,0,53.46768,53.46768,53.46783,0,-5.416199,-5.416199,-5.416473,1,1032.654,1032.654,1032.642,1,11.14258,11.14258,10.99609,9,,1,1.4063,0,0.0781,0,1.4063,1,1.875,1,88.47656,88.47656,88.76953,1,189.8438,0,192.6563,0,189.8438,0,0.0234,0,25.0,9,,1,12.11975,12.11975,12.13806,0,66.7969,0,43.5938,0,5.3906,0,154.6875,0,4.1016,0,3.9844,0,13.0078,0,3.9844,1,4.8047,0,4.9219,1,204.9609,204.2578,204.9609,0,25.39907,26.31025,25.39907,1,20.84318,20.15978,20.84318,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-12-16 02:00:00,0,51.21533,51.21533,51.21518,0,-10.54956,-10.54956,-10.54984,1,1035.144,1034.937,1035.144,1,11.09375,11.09375,11.24023,9,,1,4.1406,0,3.4375,0,2.2656,1,5.4688,1,94.72656,16.89453,94.72656,1,300.9375,0,312.1875,0,270.0,0,0.0254,0,35.19814,9,,1,11.38367,16.61316,11.38367,0,24.6094,0,47.8125,0,12.8906,0,315.0,0,9.375,0,8.0859,0,13.4766,0,5.2734,1,13.7109,0,12.6563,1,196.875,208.4766,196.875,0,26.65194,26.19633,26.65194,1,20.84318,19.47641,20.84318,2023_62092_zzqc_fugrobuoy.csv,62092_2023
