rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62092,427_Wavesense  ,2025-08-03 00:00:00,0,51.21609,51.21609,48.0,0,-10.54626,-10.54626,-20.0,1,1019.873,1019.873,900.0,1,17.58789,-10.0,17.58789,0,4.50399,1,1.25,0,0.0781,0,1.25,1,1.6406,1,96.09375,96.09375,0.0,1,264.375,0,272.8125,0,264.375,0,0.0195,0,35.16441,9,,1,16.94458,16.94458,16.95374,0,62.9297,0,32.3438,0,4.8047,0,258.75,0,4.5703,0,4.3359,0,13.3594,0,4.3359,1,4.8047,0,5.625,1,250.3125,250.3125,0.0,0,18.67914,18.67914,0.0,1,13.89545,13.89545,0.0,2025_62092_zzqc_fugrobuoy.csv,62092_2025
1,1,62094,347_Wavesense  ,2025-08-03 00:00:00,0,51.69095,51.69095,48.0,0,-6.70215,-6.70215,-2.00027,1,1019.031,1019.031,1019.128,1,17.7832,18.17383,17.7832,0,4.52029,1,0.9375,0,0.0781,0,0.9375,1,1.4063,1,92.28516,0.0,92.28516,1,250.3125,0,251.7188,0,250.3125,0,0.0156,0,34.89357,9,,1,17.42798,17.43347,17.42798,0,72.4219,0,157.5,0,4.1016,0,243.2813,0,3.8672,0,3.75,0,14.2969,0,3.75,1,5.0391,0,4.8047,1,246.0938,252.0703,246.0938,0,17.76796,16.97067,17.76796,1,14.23714,11.95919,14.23714,2025_62094_zzqc_fugrobuoy.csv,62094_2025
1,1,62095,12142_CR6      ,2025-08-03 00:00:00,0,53.10071,53.10071,53.10193,0,-15.95456,-15.95456,-15.95538,1,1018.054,1018.054,1018.042,1,15.3418,15.3418,15.3418,0,4.37462,1,1.6406,0,0.1172,0,1.6406,1,2.8125,1,80.95703,80.95703,82.51953,1,289.6875,9,,9,,9,,0,35.29823,9,,1,15.50903,15.50903,15.50537,9,,9,,9,,0,296.7188,0,5.2734,0,5.0391,9,,9,,1,7.2656,0,6.0938,1,279.1406,279.1406,281.25,0,22.32385,22.32385,19.24861,1,18.10965,18.10965,14.46494,2025_62095_zzqc_fugrobuoy.csv,62095_2025
1,1,62095,12143_CR6      ,2025-08-03 00:00:00,0,53.10193,53.10193,53.10071,0,-15.95538,-15.95538,-15.95456,1,1018.054,1018.054,1018.042,1,15.3418,15.3418,15.3418,0,4.37462,1,1.7578,0,0.2344,0,1.6406,1,2.5,1,80.95703,80.95703,82.51953,1,253.125,0,277.0313,0,251.7188,0,0.0254,0,35.29823,9,,1,15.50903,15.50903,15.50537,0,102.6563,0,264.375,0,6.0938,0,255.9375,0,5.3906,0,5.1563,0,12.7734,0,5.0391,1,7.1484,0,6.3281,1,279.1406,279.1406,281.25,0,22.32385,22.32385,19.24861,1,18.10965,18.10965,14.46494,2025_62095_zzqc_fugrobuoy.csv,62095_2025
1,1,62092,427_Wavesense  ,2025-08-03 01:00:00,0,51.21594,51.21594,48.0,0,-10.54626,-10.54626,-20.0,1,1019.775,1019.775,900.0,1,17.58789,-10.0,17.58789,0,4.50326,1,1.25,0,0.0781,0,1.25,1,1.7578,1,96.19141,96.19141,0.0,1,262.9688,0,267.1875,0,262.9688,0,0.0195,0,35.16129,9,,1,16.96106,16.96106,16.94824,0,47.1094,0,2.8125,0,5.625,0,274.2188,0,4.5703,0,4.3359,0,13.125,0,4.3359,1,5.9766,0,5.7422,1,247.8516,247.8516,0.0,0,17.76796,17.76796,0.0,1,12.98428,12.98428,0.0,2025_62092_zzqc_fugrobuoy.csv,62092_2025
1,1,62094,347_Wavesense  ,2025-08-03 01:00:00,0,51.69095,51.69095,48.0,0,-6.70215,-6.70215,-2.00027,1,1019.153,1019.153,1019.177,1,17.73438,18.125,17.73438,0,4.51554,1,0.8594,0,0.0781,0,0.8594,1,1.0938,1,93.16406,0.0,93.16406,1,255.9375,0,251.7188,0,254.5313,0,0.0156,0,34.88907,9,,1,17.38586,17.36023,17.38586,0,78.3984,0,135.0,0,4.5703,0,329.0625,0,3.8672,0,3.75,0,14.4141,0,3.75,1,4.8047,0,4.5703,1,251.3672,256.6406,251.3672,0,22.20994,21.64045,22.20994,1,17.99574,14.00934,17.99574,2025_62094_zzqc_fugrobuoy.csv,62094_2025
1,1,62095,12142_CR6      ,2025-08-03 01:00:00,0,53.09888,53.09888,53.10071,0,-15.95401,-15.95401,-15.95456,1,1018.64,1018.64,1018.64,1,15.04883,15.04883,15.09766,0,4.37309,1,1.875,0,0.1172,0,1.875,1,2.9688,1,75.78125,75.78125,76.95313,1,289.6875,9,,9,,9,,0,35.29572,9,,1,15.48889,15.48889,15.49255,9,,9,,9,,0,293.9063,0,5.3906,0,5.0391,9,,9,,1,7.3828,0,6.0938,1,274.2188,274.2188,277.7344,0,24.03229,24.03229,24.48789,1,19.02083,19.02083,16.40119,2025_62095_zzqc_fugrobuoy.csv,62095_2025
1,1,62095,12143_CR6      ,2025-08-03 01:00:00,0,53.10071,53.10071,53.09888,0,-15.95456,-15.95456,-15.95401,1,1018.64,1018.64,1018.64,1,15.04883,15.04883,15.09766,0,4.37309,1,1.9922,0,0.3516,0,1.875,1,2.8125,1,75.78125,75.78125,76.95313,1,254.5313,0,286.875,0,254.5313,0,0.0273,0,35.29572,9,,1,15.48889,15.48889,15.49255,0,129.375,0,271.4063,0,5.1563,0,260.1563,0,5.625,0,5.2734,0,12.7734,0,5.1563,1,7.7344,0,6.4453,1,274.2188,274.2188,277.7344,0,24.03229,24.03229,24.48789,1,19.02083,19.02083,16.40119,2025_62095_zzqc_fugrobuoy.csv,62095_2025
1,1,62092,427_Wavesense  ,2025-08-03 02:00:00,0,51.21609,51.21609,48.0,0,-10.54654,-10.54654,-20.0,1,1019.702,1019.702,900.0,1,17.44141,-10.0,17.44141,0,4.50427,1,1.3281,0,0.0781,0,1.3281,1,1.7578,1,96.38672,96.38672,0.0,1,260.1563,0,241.875,0,260.1563,0,0.0215,0,35.15869,9,,1,16.95923,16.95923,16.96289,0,65.0391,0,188.4375,0,5.2734,0,278.4375,0,4.4531,0,4.2188,0,13.2422,0,4.2188,1,5.2734,0,5.5078,1,263.3203,263.3203,0.0,0,16.2873,16.2873,0.0,1,12.0731,12.0731,0.0,2025_62092_zzqc_fugrobuoy.csv,62092_2025
1,1,62094,347_Wavesense  ,2025-08-03 02:00:00,0,51.69095,51.69095,48.0,0,-6.70215,-6.70215,-2.00027,1,1018.604,1018.604,1018.726,1,17.53906,18.02734,17.53906,0,4.5102,1,0.9375,0,0.0781,0,0.9375,1,1.4063,1,95.01953,0.0,95.01953,1,254.5313,0,248.9063,0,254.5313,0,0.0176,0,34.88655,9,,1,17.33459,17.3291,17.33459,0,73.8281,0,172.9688,0,4.4531,0,264.375,0,3.8672,0,3.75,0,13.2422,0,3.75,1,4.8047,0,4.5703,1,247.8516,256.2891,247.8516,0,19.8181,18.22354,19.8181,1,15.14832,11.95919,15.14832,2025_62094_zzqc_fugrobuoy.csv,62094_2025
