rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62092,12146_CR6      ,2023-12-26 00:00:00,0,51.21487,51.21487,51.21503,0,-10.54901,-10.54901,-10.54901,1,1013.538,1013.672,1013.538,1,10.94727,10.94727,11.09375,9,,1,4.6875,0,3.6328,0,3.0469,1,7.3438,1,71.77734,8.98438,71.77734,1,299.5313,0,302.3438,0,295.3125,0,0.0293,0,35.30083,9,,1,11.55029,16.61316,11.55029,0,90.0,0,66.0938,0,11.7188,0,312.1875,0,9.0234,0,8.3203,0,11.8359,0,6.2109,1,11.7188,0,10.7813,1,277.3828,284.0625,277.3828,0,20.84318,21.52656,20.84318,1,16.40119,15.03443,16.40119,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62092,314_Wavesense  ,2023-12-26 00:00:00,0,51.21487,51.21487,51.21487,0,-10.54901,-10.54901,-10.54901,1,1013.538,1013.672,1013.538,1,10.94727,10.94727,11.09375,9,,1,4.6875,0,3.5156,0,3.125,1,6.0938,1,71.77734,8.98438,71.77734,1,282.6563,0,284.0625,0,279.8438,0,0.0254,0,35.30083,9,,1,11.55029,16.61316,11.55029,0,28.4766,0,358.5938,0,9.2578,0,286.875,0,8.9063,0,7.9688,0,12.3047,0,6.0938,1,11.9531,0,10.5469,1,277.3828,284.0625,277.3828,0,20.84318,21.52656,20.84318,1,16.40119,15.03443,16.40119,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62093,189_Wavesense  ,2023-12-26 00:00:00,0,55.00287,55.00287,55.00272,0,-9.999695,-9.999695,-9.999695,1,1006.494,1006.494,1006.396,1,8.50586,8.50586,8.55469,9,,1,5.2344,0,3.75,0,3.5938,1,7.5,1,72.65625,72.65625,74.02344,1,260.1563,0,255.9375,0,261.5625,0,0.0313,0,35.41512,9,,1,11.05225,11.05225,11.05225,0,41.8359,0,343.125,0,9.1406,0,264.375,0,8.6719,0,7.8516,0,11.8359,0,6.2109,1,10.5469,0,10.3125,1,323.0859,320.9766,323.0859,0,25.05738,23.80449,25.05738,1,18.45134,15.71781,18.45134,2023_62093_zzqc_fugrobuoy.csv,62093_2023
1,1,62093,12144_CR6      ,2023-12-26 00:00:00,0,55.00287,55.00287,55.00272,0,-9.999695,-9.999695,-9.999695,1,1006.494,1006.494,1006.396,1,8.50586,8.50586,8.55469,9,,1,5.2734,0,3.9844,0,3.3984,1,7.3438,1,72.65625,72.65625,74.02344,1,272.8125,0,267.1875,0,279.8438,0,0.0332,0,35.41512,9,,1,11.05225,11.05225,11.05225,0,132.1875,0,244.6875,0,11.0156,0,265.7813,0,8.9063,0,8.2031,0,11.9531,0,6.2109,1,11.1328,0,10.5469,1,323.0859,320.9766,323.0859,0,25.05738,23.80449,25.05738,1,18.45134,15.71781,18.45134,2023_62093_zzqc_fugrobuoy.csv,62093_2023
1,1,62095,12145_CR6      ,2023-12-26 00:00:00,0,53.08606,53.08606,53.08606,0,-15.89716,-15.89716,-15.89716,1,1012.683,1012.683,1012.671,1,9.53125,9.53125,9.67773,9,,1,4.2188,0,3.1641,0,2.8125,1,6.0938,1,58.30078,58.30078,58.98438,1,291.0938,0,292.5,0,289.6875,0,0.0254,0,35.53001,9,,1,11.95862,11.95862,11.94214,0,165.9375,0,265.7813,0,11.1328,0,275.625,0,8.9063,0,8.2031,0,11.6016,0,6.4453,1,12.5391,0,10.4297,1,298.8281,281.9531,298.8281,0,13.66766,13.78155,13.66766,1,8.428392,7.858905,8.428392,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-12-26 00:00:00,0,53.08606,53.08606,53.08484,0,-15.89716,-15.89716,-15.89633,1,1012.683,1012.683,1012.671,1,9.48242,9.48242,9.67773,9,,1,3.9844,0,2.8906,0,2.7344,1,6.3281,1,58.30078,58.30078,58.98438,1,295.3125,0,293.9063,0,295.3125,0,0.0215,0,35.53001,9,,1,11.95862,11.95862,11.94214,0,46.4063,0,113.9063,0,10.1953,0,302.3438,0,8.7891,0,8.0859,0,11.6016,0,6.4453,1,11.4844,0,10.1953,1,298.8281,281.9531,298.8281,0,13.66766,13.78155,13.66766,1,8.428392,7.858905,8.428392,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-12-26 01:00:00,0,53.46677,53.46677,53.46707,0,-5.415924,-5.415924,-5.415924,1,1005.188,1005.188,1005.322,1,9.58008,9.58008,9.38477,9,,1,1.875,0,0.1563,0,1.875,1,2.6563,1,77.05078,77.05078,77.53906,1,234.8438,0,201.0938,0,234.8438,0,0.0273,0,25.0,9,,1,11.84326,11.84326,11.86707,0,36.5625,0,243.2813,0,5.1563,0,236.25,0,4.8047,0,4.5703,0,12.4219,0,4.5703,1,5.7422,0,5.3906,1,266.8359,258.0469,266.8359,0,30.29664,32.80238,30.29664,1,23.57671,25.05738,23.57671,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62091,8704_CR6       ,2023-12-26 01:00:00,0,53.46677,53.46677,53.46677,0,-5.415924,-5.415924,-5.415924,1,1005.188,1005.188,1005.322,1,9.58008,9.58008,9.38477,9,,1,1.875,0,0.2344,0,1.875,1,3.5938,1,77.05078,77.05078,77.53906,1,241.875,0,199.6875,0,241.875,0,0.0332,0,25.0,9,,1,11.84326,11.84326,11.86707,0,139.2188,0,171.5625,0,5.0391,0,248.9063,0,4.8047,0,4.6875,0,11.7188,0,4.6875,1,5.8594,0,5.2734,1,266.8359,258.0469,266.8359,0,30.29664,32.80238,30.29664,1,23.57671,25.05738,23.57671,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,12146_CR6      ,2023-12-26 01:00:00,0,51.21503,51.21503,51.21503,0,-10.54901,-10.54901,-10.54901,1,1013.965,1013.843,1013.965,1,10.99609,10.99609,11.14258,9,,1,5.0391,0,3.75,0,3.3984,1,6.4063,1,72.16797,9.27734,72.16797,1,296.7188,0,298.125,0,295.3125,0,0.0293,0,35.30563,9,,1,11.57959,16.61316,11.57959,0,94.2188,0,320.625,0,10.7813,0,303.75,0,9.0234,0,8.3203,0,11.7188,0,6.6797,1,11.1328,0,10.5469,1,281.9531,289.6875,281.9531,0,18.10965,19.02083,18.10965,1,13.66766,12.41479,13.66766,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62092,314_Wavesense  ,2023-12-26 01:00:00,0,51.21503,51.21503,51.21503,0,-10.54901,-10.54901,-10.54901,1,1013.965,1013.843,1013.965,1,10.99609,10.99609,11.14258,9,,1,5.0781,0,3.75,0,3.3594,1,8.125,1,72.16797,9.27734,72.16797,1,282.6563,0,285.4688,0,278.4375,0,0.0273,0,35.30563,9,,1,11.57959,16.61316,11.57959,0,22.5,0,109.6875,0,8.5547,0,278.4375,0,8.7891,0,8.2031,0,11.4844,0,6.4453,1,9.7266,0,10.0781,1,281.9531,289.6875,281.9531,0,18.10965,19.02083,18.10965,1,13.66766,12.41479,13.66766,2023_62092_zzqc_fugrobuoy.csv,62092_2023
