rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62093,189_Wavesense  ,2024-01-01 00:00:00,0,55.00272,55.00272,55.00256,0,-10.00052,-10.00052,-10.00052,1,992.6147,992.6147,992.6025,1,9.14063,9.14063,9.18945,9,,1,4.375,0,2.8125,0,3.2813,1,6.9141,1,71.38672,71.38672,71.77734,1,278.4375,0,272.8125,0,284.0625,0,0.0313,0,35.40222,9,,1,10.82336,10.82336,10.82703,0,48.8672,0,208.125,0,9.6094,0,278.4375,0,7.8516,0,7.2656,0,11.4844,0,5.9766,1,11.0156,0,9.375,1,282.3047,279.1406,282.3047,0,28.36038,29.15767,28.36038,1,21.29876,17.76796,21.29876,2024_62093_zzqc_fugrobuoy.csv,62093_2024
1,1,62094,12142_CR6      ,2024-01-01 00:00:00,0,51.6908,51.6908,51.6908,0,-6.709015,-6.709015,-6.709015,1,999.6826,999.6826,999.5972,1,9.58008,9.58008,9.67773,9,,1,3.6328,0,1.9922,0,3.0469,1,5.7813,1,71.97266,71.97266,70.89844,1,268.5938,9,,9,,9,,0,34.71451,9,,1,10.85999,10.85999,10.85632,9,,9,,9,,0,264.375,0,7.1484,0,6.5625,9,,9,,1,10.7813,0,8.4375,1,277.3828,271.0547,277.3828,0,36.56097,28.58818,36.56097,1,26.65194,17.42625,26.65194,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62094,12143_CR6      ,2024-01-01 00:00:00,0,51.6908,51.6908,51.6908,0,-6.709015,-6.709015,-6.709015,1,999.6826,999.6826,999.5972,1,9.58008,9.58008,9.67773,9,,1,4.2188,0,2.6953,0,3.1641,1,6.7188,1,71.97266,71.97266,70.89844,1,326.25,0,319.2188,0,330.4688,0,0.0352,9,,9,,1,10.85999,10.85999,10.85632,0,205.3125,0,29.5313,0,8.7891,0,315.0,0,7.8516,0,7.1484,0,12.1875,0,5.9766,1,14.2969,0,8.9063,1,277.3828,271.0547,277.3828,0,36.56097,28.58818,36.56097,1,26.65194,17.42625,26.65194,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62095,12145_CR6      ,2024-01-01 00:00:00,0,53.07797,53.07797,53.07782,0,-15.88727,-15.88727,-15.88754,1,999.5117,999.5117,999.4873,1,9.0918,9.0918,9.23828,9,,1,4.3359,0,3.0469,0,3.0469,1,7.6563,1,59.66797,59.66797,60.05859,1,337.5,0,347.3438,0,326.25,0,0.0273,0,35.52498,9,,1,11.80298,11.80298,11.7865,0,205.3125,0,23.9063,0,8.3203,0,330.4688,0,8.6719,0,8.0859,0,11.25,0,6.5625,1,11.1328,0,9.8438,1,265.4297,242.5781,265.4297,0,18.79303,19.13472,18.79303,1,11.6175,11.38972,11.6175,2024_62095_zzqc_fugrobuoy.csv,62095_2024
1,1,62095,341_Wavesense  ,2024-01-01 00:00:00,0,53.07782,53.07782,53.07889,0,-15.88727,-15.88727,-15.88754,1,999.5117,999.5117,999.4873,1,9.0918,9.0918,9.23828,9,,1,4.0625,0,2.8125,0,2.8906,1,5.625,1,59.66797,59.66797,60.05859,1,347.3438,0,2.8125,0,334.6875,0,0.0254,0,35.52498,9,,1,11.80298,11.80298,11.7865,0,50.9766,0,285.4688,0,9.7266,0,5.625,0,8.3203,0,7.6172,0,11.1328,0,6.2109,1,10.6641,0,9.4922,1,265.4297,242.5781,265.4297,0,18.79303,19.13472,18.79303,1,11.6175,11.38972,11.6175,2024_62095_zzqc_fugrobuoy.csv,62095_2024
1,1,62093,189_Wavesense  ,2024-01-01 01:00:00,0,55.00272,55.00272,55.00272,0,-10.00052,-10.00052,-10.00079,1,993.0908,993.0908,993.042,1,8.94531,8.94531,8.94531,9,,1,4.0625,0,2.5,0,3.2031,1,7.0313,1,69.92188,69.92188,70.41016,1,282.6563,0,271.4063,0,292.5,0,0.0293,0,35.40192,9,,1,10.81055,10.81055,10.80872,0,35.1563,0,258.75,0,8.7891,0,257.3438,0,7.8516,0,7.2656,0,11.8359,0,6.0938,1,12.5391,0,9.4922,1,286.5234,279.1406,286.5234,0,27.79091,28.70209,27.79091,1,21.52656,17.76796,21.52656,2024_62093_zzqc_fugrobuoy.csv,62093_2024
1,1,62094,12142_CR6      ,2024-01-01 01:00:00,0,51.6908,51.6908,51.6908,0,-6.709015,-6.709015,-6.709015,1,1000.403,1000.403,1000.439,1,9.62891,9.62891,9.72656,9,,1,3.3984,0,1.875,0,2.8125,1,5.9375,1,69.04297,69.04297,68.06641,1,270.0,9,,9,,9,,0,34.71992,9,,1,10.85632,10.85632,10.84717,9,,9,,9,,0,267.1875,0,7.0313,0,6.4453,9,,9,,1,10.6641,0,8.2031,1,276.3281,270.0,276.3281,0,34.51084,29.04378,34.51084,1,24.48789,16.0595,24.48789,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62094,12143_CR6      ,2024-01-01 01:00:00,0,51.6908,51.6908,51.6908,0,-6.709015,-6.709015,-6.709015,1,1000.403,1000.403,1000.439,1,9.62891,9.62891,9.72656,9,,1,4.3359,0,2.9297,0,3.0469,1,6.25,1,69.04297,69.04297,68.06641,1,274.2188,0,277.0313,0,271.4063,0,0.0332,9,,9,,1,10.85632,10.85632,10.84717,0,217.9688,0,105.4688,0,13.125,0,267.1875,0,8.2031,0,7.3828,0,12.5391,0,5.8594,1,13.3594,0,9.1406,1,276.3281,270.0,276.3281,0,34.51084,29.04378,34.51084,1,24.48789,16.0595,24.48789,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62095,12145_CR6      ,2024-01-01 01:00:00,0,53.07675,53.07675,53.07675,0,-15.88754,-15.88754,-15.88754,1,998.7183,998.7183,998.7183,1,8.94531,8.94531,9.0918,9,,1,4.1016,0,2.8125,0,3.0469,1,7.0313,1,63.67188,63.67188,64.35547,1,340.3125,0,354.375,0,326.25,0,0.0254,0,35.52162,9,,1,11.77002,11.77002,11.7627,0,160.3125,0,223.5938,0,9.2578,0,352.9688,0,8.6719,0,7.9688,0,11.25,0,6.6797,1,11.1328,0,9.8438,1,272.1094,252.4219,272.1094,0,15.03443,16.40119,15.03443,1,8.086704,7.745015,8.086704,2024_62095_zzqc_fugrobuoy.csv,62095_2024
1,1,62095,341_Wavesense  ,2024-01-01 01:00:00,0,53.07675,53.07675,53.07782,0,-15.88754,-15.88754,-15.88754,1,998.7183,998.7183,998.7183,1,8.94531,8.94531,9.0918,9,,1,3.75,0,2.4219,0,2.9688,1,5.1563,1,63.67188,63.67188,64.35547,1,327.6563,0,338.9063,0,320.625,0,0.0234,0,35.52162,9,,1,11.77002,11.77002,11.7627,0,53.0859,0,336.0938,0,10.5469,0,333.2813,0,8.0859,0,7.3828,0,11.25,0,6.3281,1,10.1953,0,9.7266,1,272.1094,252.4219,272.1094,0,15.03443,16.40119,15.03443,1,8.086704,7.745015,8.086704,2024_62095_zzqc_fugrobuoy.csv,62095_2024
1,1,62093,189_Wavesense  ,2024-01-01 02:00:00,0,55.00272,55.00272,55.00272,0,-10.00052,-10.00052,-10.00052,1,993.1519,993.1519,993.2495,1,8.60352,8.60352,8.65234,9,,1,4.8438,0,3.5938,0,3.2813,1,7.2656,1,72.65625,72.65625,73.14453,1,282.6563,0,277.0313,0,288.2813,0,0.0313,0,35.40398,9,,1,10.7959,10.7959,10.79041,0,45.0,0,272.8125,0,9.9609,0,264.375,0,8.3203,0,7.6172,0,11.3672,0,5.8594,1,11.9531,0,9.8438,1,270.3516,273.8672,270.3516,0,30.29664,31.32171,30.29664,1,21.18487,18.22354,21.18487,2024_62093_zzqc_fugrobuoy.csv,62093_2024
