rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62092,427_Wavesense  ,2024-01-20 00:00:00,0,51.21716,51.21716,51.21732,0,-10.54764,-10.54764,-10.54764,1,1013.135,1013.135,1012.817,1,10.16602,10.16602,10.21484,9,,1,4.375,0,1.4844,0,4.1406,1,5.9766,1,78.90625,78.90625,80.95703,1,217.9688,0,250.3125,0,215.1563,0,0.0313,0,35.39703,9,,1,10.98267,10.98267,10.98267,0,25.3125,0,178.5938,0,8.7891,0,215.1563,0,7.3828,0,6.9141,0,10.7813,0,6.6797,1,8.4375,0,8.4375,1,199.6875,184.9219,199.6875,0,38.72504,43.16701,38.72504,1,26.65194,27.10751,26.65194,2024_62092_zzqc_fugrobuoy.csv,62092_2024
1,1,62093,189_Wavesense  ,2024-01-20 00:00:00,0,55.00378,55.00378,55.00394,0,-9.999969,-9.999969,-9.999969,1,1003.723,1003.723,1003.601,1,7.43164,7.43164,7.48047,9,,1,5.4688,0,3.5156,0,4.1406,1,8.6719,1,94.04297,94.04297,93.26172,1,206.7188,0,216.5625,0,201.0938,0,0.0352,0,35.32692,9,,1,10.46082,10.46082,10.45349,0,22.8516,0,237.6563,0,9.8438,0,206.7188,0,8.0859,0,7.6172,0,10.7813,0,6.4453,1,10.3125,0,9.4922,1,231.3281,229.2187,231.3281,0,36.1054,30.98002,36.1054,1,21.75436,20.04589,21.75436,2024_62093_zzqc_fugrobuoy.csv,62093_2024
1,1,62094,12142_CR6      ,2024-01-20 00:00:00,0,51.6911,51.69125,51.6911,0,-6.709564,-6.709564,-6.709564,1,1018.274,1018.274,1018.176,1,9.28711,9.28711,9.43359,9,,1,2.8125,0,0.2344,0,2.8125,1,4.8438,1,67.38281,67.38281,65.42969,1,250.3125,9,,9,,9,,0,34.81049,9,,1,9.873047,9.873047,9.863892,9,,9,,9,,0,248.9063,0,5.5078,0,5.2734,9,,9,,1,7.2656,0,6.2109,1,216.5625,205.6641,216.5625,0,35.6498,26.76583,35.6498,1,26.87973,16.62899,26.87973,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62094,12143_CR6      ,2024-01-20 00:00:00,0,51.69125,51.6911,51.69125,0,-6.70929,-6.709564,-6.70929,1,1018.274,1018.274,1018.176,1,9.28711,9.28711,9.43359,9,,1,3.0469,0,0.7031,0,3.0469,1,5.1563,1,67.38281,67.38281,65.42969,1,233.4375,0,205.3125,0,234.8438,0,0.0371,9,,9,,1,9.873047,9.873047,9.863892,0,101.25,0,196.875,0,6.7969,0,240.4688,0,6.0938,0,5.7422,0,10.7813,0,5.7422,1,7.1484,0,6.9141,1,216.5625,205.6641,216.5625,0,35.6498,26.76583,35.6498,1,26.87973,16.62899,26.87973,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62092,427_Wavesense  ,2024-01-20 01:00:00,0,51.21732,51.21732,51.21716,0,-10.54764,-10.54764,-10.54764,1,1012.219,1012.219,1012.219,1,9.87305,9.87305,9.92188,9,,1,4.7656,0,1.6406,0,4.4531,1,6.9141,1,87.20703,87.20703,88.08594,1,213.75,0,243.2813,0,210.9375,0,0.0352,0,35.39352,9,,1,10.9845,10.9845,10.98083,0,28.125,0,209.5313,0,7.5,0,216.5625,0,7.3828,0,6.9141,0,10.8984,0,6.6797,1,9.0234,0,8.3203,1,199.3359,188.4375,199.3359,0,40.66128,39.63622,40.66128,1,26.99362,23.00723,26.99362,2024_62092_zzqc_fugrobuoy.csv,62092_2024
1,1,62093,189_Wavesense  ,2024-01-20 01:00:00,0,55.00394,55.00394,55.00378,0,-9.999969,-9.999969,-9.999695,1,1002.478,1002.478,1002.515,1,9.77539,9.77539,9.87305,9,,1,6.0938,0,4.2969,0,4.2969,1,8.3203,1,92.57813,92.57813,90.82031,1,209.5313,0,212.3438,0,209.5313,0,0.0332,0,35.33722,9,,1,10.45166,10.45166,10.448,0,27.7734,0,254.5313,0,10.3125,0,217.9688,0,8.6719,0,8.2031,0,10.8984,0,6.7969,1,10.1953,0,10.0781,1,210.5859,204.9609,210.5859,0,41.57246,44.76157,41.57246,1,25.74076,29.95495,25.74076,2024_62093_zzqc_fugrobuoy.csv,62093_2024
1,1,62094,12142_CR6      ,2024-01-20 01:00:00,0,51.69125,51.69125,51.69125,0,-6.70929,-6.70929,-6.70929,1,1017.603,1017.603,1017.468,1,9.53125,9.53125,9.72656,9,,1,3.6328,0,0.3516,0,3.6328,1,5.7813,1,64.16016,64.16016,62.20703,1,253.125,9,,9,,9,,0,34.81407,9,,1,9.856567,9.856567,9.852905,9,,9,,9,,0,250.3125,0,6.3281,0,5.9766,9,,9,,1,7.6172,0,6.9141,1,215.1562,203.9062,215.1562,0,37.69995,30.18273,37.69995,1,29.04378,18.10965,29.04378,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62094,12143_CR6      ,2024-01-20 01:00:00,0,51.69125,51.69125,51.69125,0,-6.70929,-6.709564,-6.70929,1,1017.603,1017.603,1017.468,1,9.53125,9.53125,9.72656,9,,1,3.0469,0,0.5859,0,3.0469,1,4.8438,1,64.16016,64.16016,62.20703,1,234.8438,0,230.625,0,234.8438,0,0.0371,9,,9,,1,9.856567,9.856567,9.852905,0,119.5313,0,165.9375,0,6.7969,0,236.25,0,5.9766,0,5.625,0,10.7813,0,5.625,1,7.1484,0,6.7969,1,215.1562,203.9062,215.1562,0,37.69995,30.18273,37.69995,1,29.04378,18.10965,29.04378,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62095,341_Wavesense  ,2024-01-20 01:00:00,0,53.08987,53.08987,53.09033,0,-15.90045,-15.90045,-15.90128,1,1001.55,1001.55,1001.27,1,10.94727,10.94727,11.14258,9,,1,4.9219,0,3.5156,0,3.4375,1,7.1484,1,81.25,81.25,81.93359,1,220.7813,0,233.4375,0,208.125,0,0.0293,0,35.54787,9,,1,11.76453,11.76453,11.75903,0,52.0313,0,254.5313,0,9.2578,0,251.7188,0,8.5547,0,7.9688,0,11.3672,0,6.4453,1,11.7188,0,10.1953,1,228.5156,213.0469,228.5156,0,35.5359,44.1921,35.5359,1,20.04589,18.90692,20.04589,2024_62095_zzqc_fugrobuoy.csv,62095_2024
1,1,62095,12145_CR6      ,2024-01-20 01:00:00,0,53.08987,53.08987,53.08987,0,-15.90073,-15.90073,-15.90045,1,1001.55,1001.55,1001.27,1,10.94727,10.94727,11.14258,9,,1,5.3906,0,4.1016,0,3.3984,1,8.125,1,81.34766,81.34766,81.93359,1,226.4063,0,233.4375,0,216.5625,0,0.0332,0,35.54787,9,,1,11.76453,11.76453,11.75903,0,187.0313,0,163.125,0,10.5469,0,240.4688,0,8.9063,0,8.3203,0,11.1328,0,6.4453,1,11.7188,0,9.9609,1,228.5156,213.0469,228.5156,0,35.5359,44.1921,35.5359,1,20.04589,18.90692,20.04589,2024_62095_zzqc_fugrobuoy.csv,62095_2024
