rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62092,427_Wavesense  ,2025-01-23 00:00:00,0,51.21625,51.21625,51.21625,0,-10.54709,-10.54709,-10.54681,1,1003.406,1003.406,1003.357,1,9.9707,9.9707,10.06836,0,4.01895,1,2.2656,0,1.25,0,1.875,1,3.1641,1,82.12891,0.29297,82.12891,1,300.9375,0,327.6563,0,288.2813,0,0.0215,0,35.51292,9,,1,11.66565,11.66565,11.65649,0,26.3672,0,241.875,0,8.5547,0,333.2813,0,6.6797,0,6.0938,0,11.3672,0,5.2734,1,11.0156,0,8.4375,1,217.2656,234.4922,217.2656,0,24.48789,25.39907,24.48789,1,19.36252,17.65405,19.36252,2025_62092_zzqc_fugrobuoy.csv,62092_2025
1,1,62093,189_Wavesense  ,2025-01-23 00:00:00,0,55.0076,55.00775,55.0076,0,-9.9931,-9.9931,-9.9931,1,997.1313,997.1313,997.1558,1,9.18945,9.18945,9.23828,0,4.01687,1,2.1875,0,1.25,0,1.7969,1,3.2813,1,74.60938,74.60938,75.0,1,326.25,0,341.7188,0,320.625,0,0.0176,0,36.25198,9,,1,10.88745,10.88745,10.87646,0,31.9922,0,95.625,0,9.0234,0,345.9375,0,7.3828,0,6.7969,0,11.0156,0,5.9766,1,10.7813,0,9.0234,1,190.1953,188.0859,190.1953,0,19.13472,20.15978,19.13472,1,14.46494,14.23714,14.46494,2025_62093_zzqc_fugrobuoy.csv,62093_2025
1,1,62094,8704_CR6       ,2025-01-23 00:00:00,0,51.69095,51.69095,51.6911,0,-6.70242,-6.70242,-6.70242,1,1003.65,1003.65,1003.735,1,9.18945,9.18945,9.23828,0,3.87673,1,0.8203,0,0.3516,0,0.7031,1,1.25,1,73.24219,0.0,73.24219,1,255.9375,0,240.4688,0,261.5625,0,0.0215,0,35.00435,9,,1,10.70801,10.70801,10.70801,0,136.4063,0,92.8125,0,4.5703,0,239.0625,0,4.6875,0,4.2188,0,11.3672,0,3.75,1,10.5469,0,5.8594,1,260.5078,260.5078,255.9375,0,14.57883,14.57883,14.69272,1,10.47855,10.47855,12.41479,2025_62094_zzqc_fugrobuoy.csv,62094_2025
1,1,62094,347_Wavesense  ,2025-01-23 00:00:00,0,51.6911,51.6911,51.69095,0,-6.70242,-6.70242,-6.70242,1,1003.65,1003.65,1003.735,1,9.18945,9.18945,9.23828,0,3.87673,1,0.7031,0,0.3125,0,0.625,1,1.0938,1,73.24219,0.0,73.24219,1,246.0938,0,222.1875,0,251.7188,0,0.0098,0,35.00435,9,,1,10.70801,10.70801,10.70801,0,24.6094,0,97.0313,0,9.9609,0,222.1875,0,4.5703,0,4.1016,0,11.1328,0,3.6328,1,10.6641,0,7.7344,1,260.5078,260.5078,255.9375,0,14.57883,14.57883,14.69272,1,10.47855,10.47855,12.41479,2025_62094_zzqc_fugrobuoy.csv,62094_2025
1,1,62095,13443_CR6      ,2025-01-23 00:00:00,0,53.06012,53.05981,53.06012,0,-15.87683,-15.87683,-15.87683,1,992.8345,992.8345,992.7734,1,8.4082,8.4082,9.28711,0,3.99903,1,2.5781,0,1.4063,0,2.2266,1,4.375,1,79.49219,79.49219,79.19922,1,312.1875,9,,9,,9,,0,35.29564,9,,1,11.64368,11.64368,11.67847,9,,9,,9,,0,7.0313,0,6.5625,0,6.0938,9,,9,,1,10.5469,0,7.7344,1,248.5547,248.5547,253.8281,0,30.63833,30.63833,29.15767,1,21.98214,21.98214,21.52656,2025_62095_zzqc_fugrobuoy.csv,62095_2025
1,1,62095,12146_CR6      ,2025-01-23 00:00:00,0,53.05981,48.0,53.05981,0,-15.87683,-2.00027,-15.87683,1,992.8345,992.8345,992.7734,1,8.4082,8.4082,9.28711,0,3.99903,1,2.4609,0,1.0547,0,2.2266,1,4.2188,1,79.49219,79.49219,79.19922,1,278.4375,0,5.625,0,260.1563,0,0.0273,0,35.29564,9,,1,11.64368,11.64368,11.67847,0,164.5313,0,226.4063,0,6.7969,0,237.6563,0,6.3281,0,5.8594,0,11.25,0,5.3906,1,6.2109,0,7.9688,1,248.5547,248.5547,253.8281,0,30.63833,30.63833,29.15767,1,21.98214,21.98214,21.52656,2025_62095_zzqc_fugrobuoy.csv,62095_2025
1,1,62092,427_Wavesense  ,2025-01-23 01:00:00,0,51.21625,51.21625,51.21625,0,-10.54681,-10.54681,-10.54681,1,1002.405,1002.405,1002.283,1,10.70313,10.70313,10.80078,0,4.02055,1,2.1094,0,0.9375,0,1.9531,1,2.8125,1,79.00391,0.29297,79.00391,1,293.9063,0,330.4688,0,285.4688,0,0.0234,0,35.51598,9,,1,11.66565,11.66565,11.66931,0,28.4766,0,315.0,0,7.6172,0,315.0,0,6.3281,0,5.7422,0,11.3672,0,5.2734,1,9.375,0,7.9688,1,222.8906,237.6562,222.8906,0,26.87973,28.01869,26.87973,1,21.07096,18.67914,21.07096,2025_62092_zzqc_fugrobuoy.csv,62092_2025
1,1,62093,189_Wavesense  ,2025-01-23 01:00:00,0,55.00775,55.0079,55.00775,0,-9.9931,-9.9931,-9.9931,1,995.459,995.459,995.6055,1,9.14063,9.14063,9.18945,0,4.01643,1,2.1094,0,1.25,0,1.7969,1,2.9297,1,76.95313,76.95313,77.83203,1,320.625,0,341.7188,0,313.5938,0,0.0156,0,36.25252,9,,1,10.87646,10.87646,10.8728,0,38.6719,0,7.0313,0,7.9688,0,345.9375,0,7.3828,0,6.5625,0,11.0156,0,5.7422,1,9.6094,0,9.4922,1,178.5937,186.6797,178.5937,0,23.12112,23.00723,23.12112,1,17.88185,16.97067,17.88185,2025_62093_zzqc_fugrobuoy.csv,62093_2025
1,1,62094,8704_CR6       ,2025-01-23 01:00:00,0,51.6911,51.6911,51.6911,0,-6.70242,-6.70242,-6.70242,1,1003.455,1003.455,1003.516,1,9.28711,9.28711,9.33594,0,3.87711,1,0.8203,0,0.3516,0,0.7031,1,1.0938,1,73.73047,0.0,73.73047,1,298.125,0,272.8125,0,303.75,0,0.0215,0,34.99832,9,,1,10.72266,10.72266,10.71899,0,163.125,0,133.5938,0,4.9219,0,261.5625,0,4.4531,0,3.9844,0,11.7188,0,3.6328,1,12.5391,0,5.2734,1,256.9922,256.9922,251.0156,0,15.14832,15.14832,16.74288,1,10.70633,10.70633,13.09817,2025_62094_zzqc_fugrobuoy.csv,62094_2025
1,1,62094,347_Wavesense  ,2025-01-23 01:00:00,0,51.6911,51.6911,51.69095,0,-6.70242,-6.70242,-6.70242,1,1003.455,1003.455,1003.516,1,9.28711,9.28711,9.33594,0,3.87711,1,0.625,0,0.1563,0,0.625,1,0.9375,1,73.73047,0.0,73.73047,1,243.2813,0,225.0,0,244.6875,0,0.0098,0,34.99832,9,,1,10.72266,10.72266,10.71899,0,38.3203,0,19.6875,0,6.6797,0,229.2188,0,4.2188,0,3.8672,0,11.4844,0,3.75,1,9.6094,0,6.7969,1,256.9922,256.9922,251.0156,0,15.14832,15.14832,16.74288,1,10.70633,10.70633,13.09817,2025_62094_zzqc_fugrobuoy.csv,62094_2025
