rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62091,347_Wavesense  ,2023-09-26 00:00:00,0,53.46707,53.46707,53.46707,0,-5.416473,-5.416473,-5.416473,1,1012.329,1012.329,1012.354,1,16.02539,16.02539,15.78125,9,,1,1.7969,0,0.1563,0,1.7188,1,2.5,1,82.8125,82.8125,82.71484,1,175.7813,0,164.5313,0,175.7813,0,0.0195,0,25.0,9,,1,15.48889,15.48889,15.51086,0,25.6641,0,168.75,0,6.5625,0,171.5625,0,5.625,0,5.3906,0,11.3672,0,5.2734,1,6.6797,0,6.4453,1,177.8906,173.3203,177.8906,1,25.96856,29.72715,25.96856,1,18.90692,20.95707,18.90692,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-09-26 00:00:00,0,51.21533,51.21533,51.21533,0,-10.54929,-10.54929,-10.54956,1,1004.712,1005.481,1004.712,1,16.07422,16.07422,16.17188,9,,1,4.375,0,2.8906,0,3.2813,1,6.25,1,92.87109,0.68359,92.87109,1,243.2813,0,278.4375,0,219.375,0,0.0313,0,34.84711,9,,1,15.58777,16.61316,15.58777,0,30.9375,0,42.1875,0,8.4375,0,292.5,0,7.9688,0,7.2656,0,12.1875,0,5.8594,1,13.8281,0,9.9609,1,160.6641,177.8906,160.6641,1,30.29664,31.8912,30.29664,1,24.71567,23.00723,24.71567,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-09-26 00:00:00,0,51.69125,51.69125,51.69125,0,-6.710114,-6.710114,-6.710114,1,1012.537,1012.537,1012.549,1,16.2207,16.2207,15.78125,9,,1,2.8125,0,1.7578,0,2.1094,6,4.375,1,88.96484,88.96484,88.47656,1,233.4375,0,251.7188,0,220.7813,0,0.0273,9,,9,,1,15.91003,15.91003,15.90454,0,94.2188,0,343.125,0,9.9609,0,258.75,0,7.2656,0,6.5625,0,11.9531,0,5.2734,1,13.3594,0,9.1406,1,169.1016,169.1016,175.7812,1,24.48789,24.48789,26.99362,1,18.33743,18.33743,20.61538,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-09-26 00:00:00,0,53.09537,53.09537,53.09537,0,-15.92682,-15.92682,-15.92682,1,998.1323,998.1323,998.2422,1,14.70703,14.70703,14.85352,9,,1,3.6328,0,2.1094,0,3.0469,6,5.7813,1,77.44141,77.44141,77.83203,1,243.2813,0,262.9688,0,233.4375,0,0.0293,0,35.52116,9,,1,15.66467,15.66467,15.65918,0,194.0625,0,165.9375,0,9.4922,0,260.1563,0,7.7344,0,7.0313,0,11.0156,0,6.3281,1,9.9609,0,9.1406,1,230.9766,209.1797,230.9766,0,27.9048,28.36038,27.9048,1,21.29876,15.6039,21.29876,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-09-26 00:00:00,0,53.09537,53.09537,53.09598,0,-15.92682,-15.92682,-15.92902,1,998.1323,998.1323,998.2422,1,14.70703,14.70703,14.85352,9,,1,3.2813,0,1.4063,0,2.9688,1,4.6875,1,77.44141,77.44141,77.83203,1,241.875,0,284.0625,0,234.8438,0,0.0273,0,35.52116,9,,1,15.66284,15.66284,15.65918,0,53.0859,0,52.0313,0,9.1406,0,285.4688,0,7.3828,0,6.9141,0,11.3672,0,6.4453,1,9.6094,0,8.5547,1,230.9766,209.1797,230.9766,1,27.9048,28.36038,27.9048,1,21.29876,15.6039,21.29876,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-09-26 01:00:00,0,53.46707,53.46707,53.46707,0,-5.416473,-5.416473,-5.416473,1,1012.158,1012.158,1012.207,1,15.92773,15.92773,15.73242,9,,1,1.875,0,0.1563,0,1.875,1,2.8125,1,85.25391,85.25391,85.15625,1,175.7813,0,180.0,0,175.7813,0,0.0215,0,25.0,9,,1,15.48523,15.48523,15.49622,0,33.75,0,189.8438,0,6.3281,0,180.0,0,5.625,0,5.3906,0,11.9531,0,5.3906,1,6.3281,0,6.4453,1,171.9141,185.2734,171.9141,1,28.36038,28.81598,28.36038,1,20.72927,20.04589,20.72927,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-09-26 01:00:00,0,51.21518,51.21518,51.21533,0,-10.54929,-10.54929,-10.54929,1,1005.359,1005.2,1005.359,1,15.24414,15.24414,15.29297,9,,1,4.6875,0,3.3594,0,3.2031,1,5.9375,1,91.99219,0.58594,91.99219,1,260.1563,0,288.2813,0,229.2188,0,0.0332,0,34.85359,9,,1,15.59326,16.61316,15.59326,0,22.8516,0,324.8438,0,11.25,0,293.9063,0,8.3203,0,7.5,0,11.9531,0,5.8594,1,12.7734,0,10.0781,1,220.4297,232.0312,220.4297,1,25.51296,27.10751,25.51296,1,20.72927,19.59032,20.72927,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-09-26 01:00:00,0,51.69125,51.6911,51.69125,0,-6.709839,-6.710114,-6.709839,1,1011.67,1011.67,1011.755,1,16.31836,16.31836,15.87891,9,,1,2.6953,0,1.6406,0,2.1094,6,3.5938,1,89.64844,89.64844,89.16016,1,230.625,0,251.7188,0,217.9688,0,0.0293,9,,9,,1,15.89722,15.89722,15.89539,0,87.1875,0,98.4375,0,9.1406,0,258.75,0,6.7969,0,6.2109,0,11.7188,0,5.1563,1,11.7188,0,8.6719,1,169.8047,169.8047,176.1328,1,26.53802,26.53802,28.1326,1,20.15978,20.15978,20.27369,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-09-26 01:00:00,0,53.09384,53.09384,53.09384,0,-15.92352,-15.92352,-15.92325,1,999.0479,999.0479,998.938,1,13.92578,13.92578,14.02344,9,,1,3.75,0,1.875,0,3.2813,6,6.5625,1,82.61719,82.61719,82.91016,1,241.875,0,264.375,0,236.25,0,0.0313,0,35.51918,9,,1,15.66833,15.66833,15.66101,0,184.2188,0,212.3438,0,8.2031,0,243.2813,0,7.6172,0,7.0313,0,11.1328,0,6.4453,1,9.1406,0,9.0234,1,280.1953,276.3281,280.1953,0,30.29664,30.75222,30.29664,1,21.18487,17.08456,21.18487,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-09-26 01:00:00,0,53.09384,53.09384,53.09537,0,-15.92325,-15.92325,-15.92682,1,999.0479,999.0479,998.938,1,13.92578,13.92578,14.02344,9,,1,3.5938,0,1.7969,0,3.2031,1,5.5078,1,82.61719,82.61719,82.91016,1,241.875,0,260.1563,0,239.0625,0,0.0273,0,35.51918,9,,1,15.66833,15.66833,15.66101,0,36.5625,0,189.8438,0,8.4375,0,248.9063,0,7.3828,0,6.9141,0,11.0156,0,6.3281,1,10.5469,0,8.6719,1,280.1953,276.3281,280.1953,1,30.29664,30.75222,30.29664,1,21.18487,17.08456,21.18487,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-09-26 02:00:00,0,53.46722,53.46722,53.46707,0,-5.416748,-5.416748,-5.416473,1,1011.157,1011.157,1011.304,1,16.02539,16.02539,15.78125,9,,1,1.9531,0,0.1563,0,1.9531,1,2.8125,1,83.98438,83.98438,83.88672,1,180.0,0,194.0625,0,180.0,0,0.0234,0,25.0,9,,1,15.60608,15.60608,15.61707,0,24.6094,0,75.9375,0,5.9766,0,181.4063,0,5.625,0,5.3906,0,11.3672,0,5.2734,1,7.0313,0,6.2109,1,171.2109,177.8906,171.2109,1,26.53802,26.87973,26.53802,1,20.27369,18.45134,20.27369,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-09-26 02:00:00,0,51.21503,51.21503,51.21518,0,-10.54901,-10.54901,-10.54929,1,1005.896,1005.835,1005.896,1,15.58594,15.58594,15.68359,9,,1,4.6875,0,3.125,0,3.5156,1,7.0313,1,83.20313,0.58594,83.20313,1,254.5313,0,281.25,0,229.2188,0,0.0313,0,34.88052,9,,1,15.60791,16.61316,15.60791,0,24.2578,0,74.5313,0,11.4844,0,272.8125,0,8.0859,0,7.3828,0,11.7188,0,6.0938,1,11.1328,0,9.7266,1,248.9063,263.6719,248.9063,1,23.57671,25.28516,23.57671,1,18.90692,17.54016,18.90692,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-09-26 02:00:00,0,51.69125,51.69125,51.69125,0,-6.709839,-6.709839,-6.709839,1,1011.047,1011.047,1011.023,1,16.36719,16.36719,15.92773,9,,1,2.8125,0,1.6406,0,2.2266,6,4.375,1,90.13672,90.13672,89.64844,1,233.4375,0,251.7188,0,223.5938,0,0.0293,9,,9,,1,15.89905,15.89905,15.89355,0,77.3438,0,66.0938,0,9.0234,0,251.7188,0,6.9141,0,6.2109,0,11.8359,0,5.2734,1,12.5391,0,8.0859,1,174.0234,174.0234,182.4609,1,28.36038,28.36038,28.81598,1,19.24861,19.24861,22.20994,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-09-26 02:00:00,0,53.09216,53.09216,53.09201,0,-15.9205,-15.9205,-15.92023,1,1000.22,1000.22,1000.024,1,13.68164,13.68164,13.82813,9,,1,3.5156,0,1.7578,0,3.0469,6,6.4063,1,75.29297,75.29297,75.58594,1,229.2188,0,253.125,0,222.1875,0,0.0313,0,35.51552,9,,1,15.65002,15.65002,15.64819,0,149.0625,0,257.3438,0,8.9063,0,261.5625,0,7.1484,0,6.6797,0,11.0156,0,6.0938,1,10.5469,0,8.5547,1,273.5156,275.625,273.5156,0,30.41053,30.52444,30.41053,1,21.64045,15.6039,21.64045,2023_62095_zzqc_fugrobuoy.csv,62095_2023
