rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62091,347_Wavesense  ,2023-10-17 00:00:00,0,53.46783,53.46783,53.46799,0,-5.416748,-5.416748,-5.416473,1,1017.285,1017.285,1017.407,1,11.92383,11.92383,11.77734,9,,1,0.9375,0,0.0781,0,0.9375,1,1.4063,1,70.01953,70.01953,70.3125,1,127.9688,0,192.6563,0,126.5625,0,0.0176,0,25.0,9,,1,14.95056,14.95056,14.96887,0,57.6563,0,46.4063,0,3.8672,0,191.25,0,3.75,0,3.6328,0,11.9531,0,3.6328,1,4.4531,0,4.4531,1,100.8984,114.9609,100.8984,0,18.33743,19.70421,18.33743,1,15.03443,15.14832,15.03443,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-10-17 00:00:00,0,51.21533,51.21533,51.21518,0,-10.55176,-10.55176,-10.55148,1,1009.607,1009.546,1009.607,1,13.4375,13.4375,13.58398,9,,1,3.9844,0,1.3281,0,3.75,1,5.0,1,77.83203,1.07422,77.83203,1,154.6875,0,177.1875,0,151.875,0,0.0332,0,35.1532,9,,1,14.58069,16.61316,14.58069,0,23.2031,0,293.9063,0,8.0859,0,165.9375,0,7.0313,0,6.5625,0,10.8984,0,6.3281,1,8.4375,0,8.2031,1,92.46094,101.6016,92.46094,0,31.6634,33.59966,31.6634,1,26.76583,25.28516,26.76583,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-10-17 00:00:00,0,51.6908,51.6908,51.6908,0,-6.710388,-6.710388,-6.710388,1,1013.562,1013.562,1013.538,1,12.55859,12.55859,12.41211,9,,1,2.4609,0,0.3516,0,2.4609,1,4.375,1,82.71484,82.71484,82.22656,1,105.4688,0,180.0,0,105.4688,0,0.0352,9,,9,,1,14.71252,14.71252,14.70703,0,170.1563,0,288.2813,0,5.7422,0,90.0,0,5.5078,0,5.1563,0,10.7813,0,5.1563,1,6.6797,0,6.2109,1,75.58594,72.42188,75.58594,0,29.15767,25.28516,29.15767,1,22.89332,17.99574,22.89332,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-10-17 00:00:00,0,53.07706,53.07706,53.0769,0,-15.92737,-15.92737,-15.92764,1,1011.67,1011.67,1011.682,1,13.33984,13.33984,13.4375,9,,1,3.3984,0,2.2266,0,2.5781,1,4.8438,1,75.58594,75.58594,75.97656,1,132.1875,0,137.8125,0,127.9688,0,0.0254,0,35.48103,9,,1,14.49463,14.49463,14.48547,0,144.8438,0,140.625,0,10.5469,0,140.625,0,7.9688,0,7.2656,0,10.8984,0,6.2109,1,9.9609,0,9.6094,1,94.57031,95.625,94.57031,0,21.18487,20.84318,21.18487,1,15.26221,14.69272,15.26221,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-10-17 00:00:00,0,53.0769,53.0769,53.07874,0,-15.92764,-15.92764,-15.92627,1,1011.67,1011.67,1011.682,1,13.33984,13.33984,13.4375,9,,1,3.2031,0,2.1875,0,2.3438,1,4.6875,1,75.58594,75.58594,75.97656,1,127.9688,0,132.1875,0,123.75,0,0.0215,0,35.48103,9,,1,14.49463,14.49463,14.48547,0,49.9219,0,90.0,0,9.0234,0,142.0313,0,8.0859,0,7.3828,0,11.1328,0,5.9766,1,11.1328,0,9.8438,1,94.57031,95.625,94.57031,0,21.18487,20.84318,21.18487,1,15.26221,14.69272,15.26221,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-10-17 01:00:00,0,53.46753,53.46753,53.46783,0,-5.416748,-5.416748,-5.416748,1,1016.931,1016.931,1017.029,1,12.41211,12.41211,12.31445,9,,1,1.0938,0,0.0781,0,1.0938,1,1.4063,1,66.11328,66.11328,66.21094,1,146.25,0,181.4063,0,146.25,0,0.0195,0,25.0,9,,1,14.98352,14.98352,15.0,0,73.125,0,45.0,0,4.5703,0,165.9375,0,3.8672,0,3.75,0,12.0703,0,3.75,1,4.6875,0,4.4531,1,99.14063,113.9063,99.14063,0,18.79303,18.45134,18.79303,1,15.8317,14.57883,15.8317,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-10-17 01:00:00,0,51.21548,51.21548,51.21533,0,-10.55148,-10.55148,-10.55176,1,1008.96,1008.997,1008.96,1,13.68164,13.68164,13.82813,9,,1,3.8281,0,1.3281,0,3.5938,1,5.3125,1,72.26563,1.07422,72.26563,1,142.0313,0,171.5625,0,139.2188,0,0.0332,0,35.14099,9,,1,14.54407,16.61316,14.54407,0,30.2344,0,0.0,0,8.0859,0,168.75,0,7.0313,0,6.4453,0,10.7813,0,6.2109,1,9.6094,0,8.3203,1,93.51563,102.6563,93.51563,0,31.6634,32.23288,31.6634,1,26.42414,24.37398,26.42414,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-10-17 01:00:00,0,51.6908,51.6908,51.6908,0,-6.710388,-6.710388,-6.710388,1,1013.11,1013.11,1013.049,1,13.4375,13.4375,13.33984,9,,1,2.6953,0,0.2344,0,2.6953,1,4.0625,1,76.95313,76.95313,76.66016,1,94.2188,0,115.3125,0,94.2188,0,0.0352,9,,9,,1,14.69055,14.69055,14.68323,0,234.8438,0,142.0313,0,6.3281,0,109.6875,0,5.625,0,5.2734,0,11.25,0,5.2734,1,6.6797,0,6.3281,1,93.16406,89.64844,93.16406,0,28.47429,25.85465,28.47429,1,23.23502,16.85678,23.23502,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-10-17 01:00:00,0,53.07553,53.07553,53.07568,0,-15.92929,-15.92929,-15.92929,1,1011.084,1011.084,1011.084,1,13.4375,13.4375,13.58398,9,,1,3.2813,0,2.2266,0,2.4609,1,5.0,1,75.58594,75.58594,75.87891,1,126.5625,0,127.9688,0,125.1563,0,0.0254,0,35.47699,9,,1,14.42871,14.42871,14.42688,0,161.7188,0,147.6563,0,10.8984,0,129.375,0,8.0859,0,7.3828,0,11.0156,0,6.2109,1,11.1328,0,9.6094,1,97.03125,94.21875,97.03125,0,21.86825,21.52656,21.86825,1,15.94561,14.57883,15.94561,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-10-17 01:00:00,0,53.07568,53.07568,53.0769,0,-15.92929,-15.92929,-15.92764,1,1011.084,1011.084,1011.084,1,13.4375,13.4375,13.58398,9,,1,3.0469,0,2.0313,0,2.2656,1,4.3359,1,75.58594,75.58594,75.87891,1,126.5625,0,130.7813,0,119.5313,0,0.0195,0,35.47699,9,,1,14.42871,14.42871,14.42688,0,39.375,0,104.0625,0,9.1406,0,137.8125,0,8.2031,0,7.5,0,11.1328,0,6.2109,1,11.0156,0,9.6094,1,97.03125,94.21875,97.03125,0,21.86825,21.52656,21.86825,1,15.94561,14.57883,15.94561,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-10-17 02:00:00,0,53.46722,53.46722,53.46753,0,-5.416748,-5.416748,-5.416748,1,1016.589,1016.589,1016.711,1,12.11914,12.11914,11.97266,9,,1,1.0938,0,0.0781,0,1.0938,1,1.4063,1,65.52734,65.52734,65.52734,1,135.0,0,149.0625,0,135.0,0,0.0195,0,25.0,9,,1,14.93408,14.93408,14.95422,0,65.0391,0,150.4688,0,4.5703,0,143.4375,0,3.9844,0,3.8672,0,13.0078,0,3.8672,1,4.2188,0,4.8047,1,95.27344,108.2812,95.27344,0,17.42625,17.76796,17.42625,1,15.14832,13.43986,15.14832,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-10-17 02:00:00,0,51.21564,51.21564,51.21548,0,-10.55121,-10.55121,-10.55148,1,1007.568,1007.434,1007.568,1,13.7793,13.7793,13.87695,9,,1,3.5156,0,1.25,0,3.2813,1,4.6875,1,71.09375,1.07422,71.09375,1,136.4063,0,181.4063,0,132.1875,0,0.0332,0,35.06126,9,,1,14.51843,16.61316,14.51843,0,32.6953,0,350.1563,0,7.9688,0,149.0625,0,6.6797,0,6.2109,0,10.7813,0,5.9766,1,9.4922,0,8.0859,1,88.94531,98.4375,88.94531,0,34.85253,35.19422,34.85253,1,27.56311,23.9184,27.56311,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-10-17 02:00:00,0,51.6908,51.6908,51.6908,0,-6.710388,-6.710388,-6.710388,1,1012.39,1012.39,1012.341,1,13.48633,13.48633,13.33984,9,,1,2.5781,0,0.3516,0,2.5781,1,4.0625,1,77.44141,77.44141,76.75781,1,43.5938,0,191.25,0,42.1875,0,0.0352,9,,9,,1,14.55505,14.55505,14.5459,0,277.0313,0,267.1875,0,7.1484,0,50.625,0,5.625,0,5.2734,0,11.0156,0,5.2734,1,7.1484,0,6.2109,1,93.86719,90.70313,93.86719,0,29.84104,27.56311,29.84104,1,23.23502,17.42625,23.23502,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-10-17 02:00:00,0,53.07584,53.07584,53.07584,0,-15.93149,-15.93149,-15.93149,1,1010.681,1010.681,1010.742,1,13.4375,13.4375,13.58398,9,,1,3.1641,0,2.2266,0,2.3438,1,5.1563,1,76.36719,76.36719,76.66016,1,126.5625,0,129.375,0,122.3438,0,0.0254,0,35.47607,9,,1,14.39026,14.39026,14.40857,0,172.9688,0,149.0625,0,10.7813,0,144.8438,0,8.0859,0,7.3828,0,11.1328,0,5.9766,1,11.1328,0,9.6094,1,101.9531,100.5469,101.9531,0,20.72927,21.29876,20.72927,1,15.14832,13.32597,15.14832,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-10-17 02:00:00,0,53.07584,53.07584,53.07568,0,-15.93149,-15.93149,-15.92929,1,1010.681,1010.681,1010.742,1,13.4375,13.4375,13.58398,9,,1,3.3594,0,2.4219,0,2.3438,1,4.9219,1,76.36719,76.36719,76.66016,1,120.9375,0,123.75,0,120.9375,0,0.0195,0,35.47607,9,,1,14.39026,14.39026,14.40857,0,42.8906,0,85.7813,0,8.9063,0,122.3438,0,8.4375,0,7.7344,0,11.0156,0,6.2109,1,11.25,0,9.7266,1,101.9531,100.5469,101.9531,0,20.72927,21.18487,20.72927,1,15.14832,13.32597,15.14832,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-10-17 03:00:00,0,53.46692,53.46692,53.46722,0,-5.416748,-5.416748,-5.416748,1,1016.15,1016.15,1016.26,1,12.02148,12.02148,11.92383,9,,1,1.4063,0,0.0781,0,1.4063,1,2.0313,1,68.35938,68.35938,68.35938,1,111.0938,0,140.625,0,111.0938,0,0.0254,0,25.0,9,,1,14.78027,14.78027,14.8114,0,70.3125,0,118.125,0,4.6875,0,94.2188,0,4.2188,0,4.1016,0,12.3047,0,4.1016,1,4.8047,0,4.6875,1,102.6563,119.8828,102.6563,0,18.33743,18.67914,18.33743,1,14.46494,12.98428,14.46494,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-10-17 03:00:00,0,51.21564,51.21564,51.21564,0,-10.55121,-10.55121,-10.55121,1,1006.628,1006.311,1006.628,1,13.73047,13.73047,13.87695,9,,1,3.9844,0,1.4844,0,3.6719,1,5.3125,1,80.27344,1.07422,80.27344,1,132.1875,0,157.5,0,129.375,0,0.0332,0,35.00038,9,,1,14.47815,16.61316,14.47815,0,28.8281,0,42.1875,0,7.3828,0,146.25,0,7.0313,0,6.5625,0,10.5469,0,6.3281,1,9.7266,0,8.2031,1,89.64844,98.4375,89.64844,0,32.00509,31.6634,32.00509,1,26.19633,23.9184,26.19633,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62094,12143_CR6      ,2023-10-17 03:00:00,0,51.6908,51.6908,51.6908,0,-6.710388,-6.710388,-6.710388,1,1011.353,1011.353,1011.279,1,13.48633,13.48633,13.33984,9,,1,2.6953,0,0.2344,0,2.6953,1,4.2188,1,79.00391,79.00391,78.22266,1,112.5,0,199.6875,0,112.5,0,0.0371,9,,9,,1,14.50928,14.50928,14.51111,0,116.7188,0,160.3125,0,6.2109,0,106.875,0,5.625,0,5.3906,0,11.3672,0,5.2734,1,6.6797,0,6.4453,1,95.625,92.10938,95.625,0,31.32171,29.61326,31.32171,1,23.4628,16.85678,23.4628,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-10-17 03:00:00,0,53.07645,53.07645,53.07645,0,-15.93204,-15.93204,-15.93204,1,1010.339,1010.339,1010.327,1,13.38867,13.38867,13.48633,9,,1,3.0469,0,1.875,0,2.3438,1,5.625,1,75.29297,75.29297,75.78125,1,127.9688,0,136.4063,0,122.3438,0,0.0254,0,35.47638,9,,1,14.37744,14.37744,14.37012,0,144.8438,0,132.1875,0,8.2031,0,147.6563,0,7.7344,0,7.0313,0,11.1328,0,5.9766,1,10.5469,0,9.1406,1,82.96875,85.07813,82.96875,0,18.33743,17.99574,18.33743,1,13.32597,11.50361,13.32597,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62095,341_Wavesense  ,2023-10-17 03:00:00,0,53.07629,53.07629,53.07584,0,-15.93204,-15.93204,-15.93149,1,1010.339,1010.339,1010.327,1,13.38867,13.38867,13.48633,9,,1,3.0469,0,1.875,0,2.3438,1,4.9219,1,75.29297,75.29297,75.78125,1,118.125,0,122.3438,0,119.5313,0,0.0195,0,35.47638,9,,1,14.37744,14.37744,14.37012,0,49.9219,0,81.5625,0,8.9063,0,126.5625,0,7.7344,0,7.1484,0,11.1328,0,6.0938,1,11.4844,0,9.1406,1,82.96875,85.07813,82.96875,0,18.33743,17.99574,18.33743,1,13.32597,11.50361,13.32597,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-10-17 04:00:00,0,53.46677,53.46677,53.46692,0,-5.416473,-5.416473,-5.416748,1,1015.845,1015.845,1015.955,1,11.97266,11.97266,11.875,9,,1,1.3281,0,0.0781,0,1.3281,1,1.875,1,66.40625,66.40625,66.30859,1,111.0938,0,147.6563,0,111.0938,0,0.0215,0,25.0,9,,1,14.73816,14.73816,14.76929,0,56.6016,0,271.4063,0,4.5703,0,109.6875,0,4.2188,0,4.1016,0,13.8281,0,4.1016,1,5.0391,0,4.9219,1,94.92188,113.2031,94.92188,0,17.19847,16.85678,17.19847,1,13.66766,12.64259,13.66766,2023_62091_zzqc_fugrobuoy.csv,62091_2023
