rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62091,347_Wavesense  ,2023-11-12 00:00:00,0,53.46738,53.46738,53.46768,0,-5.417023,-5.417023,-5.417297,1,1000.916,1000.916,1000.989,1,10.75195,10.75195,10.60547,9,,1,1.0938,0,0.0781,0,1.0938,1,1.5625,1,70.41016,70.41016,70.21484,1,136.4063,0,174.375,0,136.4063,0,0.0215,0,25.0,9,,1,14.2218,14.2218,14.23279,0,42.5391,0,49.2188,0,4.3359,0,127.9688,0,3.75,0,3.6328,0,11.8359,0,3.6328,1,3.9844,0,4.4531,1,115.3125,129.375,115.3125,1,23.6906,23.34891,23.6906,1,18.33743,16.40119,18.33743,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-11-12 00:00:00,0,51.21548,51.21548,51.21548,0,-10.55039,-10.55039,-10.55121,1,991.5527,991.6016,991.5527,1,12.65625,12.65625,12.75391,9,,1,3.5156,0,0.5469,0,3.4375,1,4.5313,1,91.99219,2.05078,91.99219,1,149.0625,0,194.0625,0,147.6563,0,0.0293,0,34.83353,9,,1,12.34863,16.61316,12.34863,0,31.9922,0,355.7813,0,7.7344,0,151.875,0,6.6797,0,6.3281,0,10.7813,0,6.3281,1,8.0859,0,7.7344,1,248.9063,261.9141,248.9063,1,22.20994,24.48789,22.20994,1,17.31236,16.74288,17.31236,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62093,189_Wavesense  ,2023-11-12 00:00:00,0,55.00348,55.00348,55.00348,0,-10.00134,-10.00134,-10.00134,1,998.8037,998.8037,998.8403,1,9.87305,9.87305,9.92188,9,,1,1.9531,0,0.3125,0,1.9531,1,2.2266,1,79.10156,79.10156,79.29688,1,90.0,0,327.6563,0,90.0,0,0.0273,0,35.20149,9,,1,12.13806,12.13806,12.14172,0,58.7109,0,74.5313,0,5.2734,0,127.9688,0,4.9219,0,4.6875,0,10.7813,0,4.6875,1,5.1563,0,5.9766,1,107.9297,116.0156,107.9297,1,25.74076,25.85465,25.74076,1,19.13472,17.76796,19.13472,2023_62093_zzqc_fugrobuoy.csv,62093_2023
1,1,62094,12143_CR6      ,2023-11-12 00:00:00,0,51.69064,51.69064,51.69064,0,-6.710114,-6.710114,-6.710114,1,997.2656,997.2656,997.2534,1,10.94727,10.94727,10.89844,9,,1,2.1094,0,0.2344,0,2.1094,1,3.5938,1,81.93359,81.93359,80.66406,1,163.125,0,202.5,0,161.7188,0,0.0313,9,,9,,1,13.31177,13.31177,13.3136,0,156.0938,0,217.9688,0,7.3828,0,177.1875,0,5.2734,0,5.0391,0,12.0703,0,5.0391,1,6.6797,0,6.0938,1,129.375,122.3437,129.375,1,31.32171,25.96856,31.32171,1,22.32385,15.8317,22.32385,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-11-12 00:00:00,0,53.09018,53.09018,53.09018,0,-15.93039,-15.93039,-15.93011,1,988.1958,988.1958,988.1348,1,12.50977,12.50977,12.65625,9,,1,3.8672,0,1.7578,0,3.5156,1,6.25,1,95.70313,95.70313,95.99609,1,140.625,0,154.6875,0,139.2188,0,0.0313,0,35.4866,9,,1,12.77527,12.77527,12.76978,0,167.3438,0,142.0313,0,8.0859,0,146.25,0,7.5,0,7.0313,0,10.6641,0,6.5625,1,9.1406,0,8.7891,1,194.0625,183.5156,194.0625,1,15.14832,13.21208,15.14832,1,9.339569,8.086704,9.339569,2023_62095_zzqc_fugrobuoy.csv,62095_2023
1,1,62091,347_Wavesense  ,2023-11-12 01:00:00,0,53.46707,53.46707,53.46738,0,-5.417023,-5.417023,-5.417023,1,1000.696,1000.696,1000.769,1,10.80078,10.80078,10.6543,9,,1,1.0938,0,0.0781,0,1.0938,1,1.5625,1,70.50781,70.50781,70.41016,1,133.5938,0,126.5625,0,133.5938,0,0.0215,0,25.0,9,,1,14.20715,14.20715,14.22546,0,56.9531,0,137.8125,0,4.6875,0,120.9375,0,3.8672,0,3.8672,0,12.6563,0,3.75,1,4.1016,0,4.4531,1,116.3672,133.5938,116.3672,1,22.55163,21.64045,22.55163,1,17.65405,15.6039,17.65405,2023_62091_zzqc_fugrobuoy.csv,62091_2023
1,1,62092,314_Wavesense  ,2023-11-12 01:00:00,0,51.21533,51.21533,51.21548,0,-10.55011,-10.55011,-10.55066,1,992.4438,992.688,992.4438,1,12.65625,12.65625,12.80273,9,,1,2.9688,0,0.7031,0,2.8906,1,4.0625,1,92.77344,2.05078,92.77344,1,151.875,0,240.4688,0,149.0625,0,0.0273,0,34.82666,9,,1,12.35046,16.61316,12.35046,0,48.1641,0,102.6563,0,7.5,0,140.625,0,6.4453,0,5.9766,0,10.8984,0,5.8594,1,8.4375,0,7.6172,1,256.2891,268.5938,256.2891,1,25.51296,27.9048,25.51296,1,20.95707,19.47641,20.95707,2023_62092_zzqc_fugrobuoy.csv,62092_2023
1,1,62093,189_Wavesense  ,2023-11-12 01:00:00,0,55.00333,55.00333,55.00348,0,-10.00134,-10.00134,-10.00134,1,998.1323,998.1323,998.1812,1,10.06836,10.06836,10.01953,9,,1,2.0313,0,0.3125,0,2.0313,1,2.8125,1,81.64063,81.64063,82.03125,1,102.6563,0,343.125,0,102.6563,0,0.0273,0,35.22141,9,,1,12.06665,12.06665,12.07031,0,52.3828,0,160.3125,0,4.9219,0,108.2813,0,5.1563,0,4.9219,0,10.8984,0,4.8047,1,5.3906,0,5.7422,1,105.4688,105.4688,105.4688,1,25.74076,26.31025,25.74076,1,19.13472,18.56523,19.13472,2023_62093_zzqc_fugrobuoy.csv,62093_2023
1,1,62094,12143_CR6      ,2023-11-12 01:00:00,0,51.69064,51.69064,51.69064,0,-6.710114,-6.710114,-6.710114,1,996.814,996.814,996.8384,1,10.80078,10.80078,10.75195,9,,1,2.4609,0,0.2344,0,2.4609,1,4.2188,1,85.15625,85.15625,84.08203,1,154.6875,0,195.4688,0,154.6875,0,0.0332,9,,9,,1,13.3374,13.3374,13.3374,0,133.5938,0,153.2813,0,6.3281,0,154.6875,0,5.5078,0,5.2734,0,12.0703,0,5.2734,1,6.2109,0,6.0938,1,125.8594,118.8281,125.8594,1,31.54951,26.19633,31.54951,1,24.71567,17.08456,24.71567,2023_62094_zzqc_fugrobuoy.csv,62094_2023
1,1,62095,12145_CR6      ,2023-11-12 01:00:00,0,53.09125,53.09125,53.09125,0,-15.92352,-15.92352,-15.92325,1,987.6953,987.6953,987.6587,1,12.50977,12.50977,12.70508,9,,1,3.9844,0,1.9922,0,3.3984,1,6.4063,1,90.72266,90.72266,90.42969,1,142.0313,0,153.2813,0,139.2188,0,0.0273,0,35.48897,9,,1,12.76062,12.76062,12.75146,0,127.9688,0,137.8125,0,8.5547,0,135.0,0,7.9688,0,7.5,0,10.5469,0,6.7969,1,9.9609,0,9.0234,1,215.1562,195.1172,215.1562,1,21.52656,21.86825,21.52656,1,15.26221,14.69272,15.26221,2023_62095_zzqc_fugrobuoy.csv,62095_2023
