rowid,qc_ind,stno,loggerid,time,ind_latitude,latitude,latitude_1,latitude_2,ind_longitude,longitude,longitude_1,longitude_2,ind_airpressure,airpressure,airpressure_1,airpressure_2,ind_airtemp,airtemp,airtemp_1,airtemp_2,ind_conductivity_16,conductivity_16,ind_hm0,hm0,ind_hm0a,hm0a,ind_hm0b,hm0b,ind_hmax,hmax,ind_humidity,humidity,humidity_1,humidity_2,ind_mdir,mdir,ind_mdira,mdira,ind_mdirb,mdirb,ind_s1mean,s1mean,ind_salinity_16,salinity_16,ind_seatemp_16,seatemp_16,ind_seatemp_aa,seatemp_aa,seatemp_aa_1,seatemp_aa_2,ind_sprtp,sprtp,ind_thhf,thhf,ind_thmax,thmax,ind_thtp,thtp,ind_tm01,tm01,ind_tm02,tm02,ind_tm02a,tm02a,ind_tm02b,tm02b,ind_tp,tp,ind_ts,ts,ind_winddir,winddir,winddir_1,winddir_2,ind_windgust,windgust,windgust_1,windgust_2,ind_windsp,windsp,windsp_1,windsp_2,source_file,station_year
1,1,62091,347_Wavesense  ,2024-01-22 00:00:00,0,53.46707,53.46707,53.46738,0,-5.415649,-5.415649,-5.415649,1,985.6445,985.6445,985.7178,1,10.55664,10.55664,10.41016,9,,1,3.8281,0,2.1875,0,3.2031,1,6.0938,1,67.38281,67.38281,68.26172,1,201.0938,0,175.7813,0,215.1563,0,0.0332,0,25.0,9,,1,10.35278,10.35278,10.37842,0,34.1016,0,257.3438,0,10.8984,0,174.375,0,7.2656,0,6.5625,0,11.8359,0,5.7422,1,11.0156,0,8.7891,1,260.5078,251.3672,260.5078,1,46.35614,49.31745,46.35614,1,33.14406,30.52444,33.14406,2024_62091_zzqc_fugrobuoy.csv,62091_2024
1,1,62092,427_Wavesense  ,2024-01-22 00:00:00,0,51.21655,51.21655,51.21655,0,-10.54626,-10.54626,-10.54654,1,997.583,997.583,997.9126,1,10.94727,10.94727,10.99609,9,,1,10.4688,0,9.6094,0,4.1406,1,17.6953,1,67.96875,67.96875,70.3125,1,264.375,0,265.7813,0,261.5625,0,0.0313,0,35.41351,9,,1,11.08337,11.08337,11.08337,0,40.0781,0,172.9688,0,13.125,0,264.375,0,12.0703,0,10.8984,0,14.0625,0,6.2109,1,15.7031,0,14.7656,1,279.8437,275.9766,279.8437,1,40.54739,42.48363,40.54739,1,26.42414,24.82958,26.42414,2024_62092_zzqc_fugrobuoy.csv,62092_2024
1,1,62093,189_Wavesense  ,2024-01-22 00:00:00,0,55.00439,55.00439,55.00439,0,-9.997498,-9.997498,-9.997498,1,980.5786,980.5786,980.0415,1,8.94531,8.94531,8.84766,9,,1,10.2344,0,9.0625,0,4.8438,1,14.0625,1,76.85547,76.85547,76.66016,1,239.0625,0,236.25,0,251.7188,0,0.0371,0,35.40062,9,,1,10.59265,10.59265,10.5542,0,35.8594,0,313.5938,0,13.2422,0,232.0313,0,11.25,0,10.4297,0,13.2422,0,6.7969,1,14.8828,0,13.0078,1,278.4375,265.0781,278.4375,1,43.39481,47.609,43.39481,1,29.49936,30.41053,29.49936,2024_62093_zzqc_fugrobuoy.csv,62093_2024
1,1,62094,12143_CR6      ,2024-01-22 00:00:00,0,51.69064,51.69064,51.69064,0,-6.709015,-6.709015,-6.709015,1,994.1895,994.1895,994.2383,1,10.21484,10.21484,10.55664,9,,1,7.2656,0,6.0938,0,3.9844,1,11.4063,1,82.32422,82.32422,83.20313,1,243.2813,0,244.6875,0,239.0625,0,0.0352,9,,9,,1,9.770508,9.770508,9.766846,0,99.8438,0,237.6563,0,11.4844,0,233.4375,0,10.0781,0,9.2578,0,12.5391,0,6.4453,1,12.5391,0,11.7188,1,261.2109,253.8281,261.2109,1,40.31959,34.05524,40.31959,1,27.56311,18.79303,27.56311,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62095,12145_CR6      ,2024-01-22 00:00:00,0,53.06882,53.06882,53.06866,0,-15.88315,-15.88315,-15.88315,1,992.5781,992.5781,992.6392,1,9.28711,9.28711,9.43359,9,,1,9.1406,0,8.0859,0,4.3359,1,15.0,1,65.23438,65.23438,65.625,1,261.5625,0,257.3438,0,275.625,0,0.0352,0,35.51392,9,,1,11.5686,11.5686,11.55212,0,101.25,0,227.8125,0,12.8906,0,260.1563,0,11.1328,0,10.3125,0,13.3594,0,6.6797,1,15.3516,0,12.4219,1,280.5469,276.3281,280.5469,1,41.00297,42.48363,41.00297,1,27.22142,24.48789,27.22142,2024_62095_zzqc_fugrobuoy.csv,62095_2024
1,1,62091,347_Wavesense  ,2024-01-22 01:00:00,0,53.46707,53.46707,53.46707,0,-5.415649,-5.415649,-5.415649,1,987.7441,987.7441,987.854,1,9.92188,9.92188,9.72656,9,,1,4.0625,0,2.1094,0,3.4375,1,5.9375,1,68.84766,68.84766,69.62891,1,209.5313,0,172.9688,0,217.9688,0,0.0332,0,25.0,9,,1,10.30518,10.30518,10.35645,0,34.4531,0,185.625,0,7.5,0,236.25,0,7.1484,0,6.5625,0,11.4844,0,5.8594,1,6.7969,0,8.4375,1,261.5625,259.4531,261.5625,1,40.54739,45.78665,40.54739,1,31.8912,30.06884,31.8912,2024_62091_zzqc_fugrobuoy.csv,62091_2024
1,1,62092,427_Wavesense  ,2024-01-22 01:00:00,0,51.21655,51.21655,51.21655,0,-10.54626,-10.54626,-10.54626,1,999.646,999.646,999.5361,1,10.60547,10.60547,10.70313,9,,1,8.9063,0,7.8906,0,4.0625,4,13.2422,1,68.65234,68.65234,71.19141,1,265.7813,0,265.7813,0,264.375,0,0.0313,0,35.41832,9,,1,11.12366,11.12366,11.09985,0,33.0469,0,312.1875,0,13.0078,0,267.1875,0,11.3672,0,10.3125,0,13.5938,0,6.4453,1,15.2344,0,13.2422,1,279.1406,274.5703,279.1406,1,38.95282,41.91415,38.95282,1,26.31025,25.62685,26.31025,2024_62092_zzqc_fugrobuoy.csv,62092_2024
1,1,62093,189_Wavesense  ,2024-01-22 01:00:00,0,55.00424,55.00424,55.00424,0,-9.997223,-9.997223,-9.997498,1,982.6904,982.6904,982.4585,1,8.75,8.75,8.84766,9,,1,9.1406,0,7.8125,0,4.6875,1,12.7734,1,78.32031,78.32031,77.24609,1,243.2813,0,237.6563,0,260.1563,0,0.0371,0,35.43411,9,,1,10.66589,10.66589,10.6604,0,41.1328,0,358.5938,0,14.2969,0,227.8125,0,10.8984,0,9.9609,0,13.3594,0,6.6797,1,15.2344,0,13.125,1,277.7344,272.1094,277.7344,1,50.00085,46.81172,50.00085,1,29.49936,28.92987,29.49936,2024_62093_zzqc_fugrobuoy.csv,62093_2024
1,1,62094,12143_CR6      ,2024-01-22 01:00:00,0,51.6908,51.6908,51.6908,0,-6.709015,-6.709015,-6.709015,1,995.9473,995.9473,995.9717,1,10.26367,10.26367,10.50781,9,,1,6.9141,0,5.8594,0,3.75,1,11.0938,1,78.90625,78.90625,77.05078,1,241.875,0,241.875,0,241.875,0,0.0332,9,,9,,1,9.755859,9.755859,9.752197,0,150.4688,0,182.8125,0,11.8359,0,243.2813,0,10.1953,0,9.375,0,12.6563,0,6.4453,1,14.2969,0,11.6016,1,264.0234,258.0469,264.0234,1,33.48575,26.08245,33.48575,1,26.08245,16.74288,26.08245,2024_62094_zzqc_fugrobuoy.csv,62094_2024
1,1,62095,12145_CR6      ,2024-01-22 01:00:00,0,53.07095,53.07095,53.07095,0,-15.88342,-15.88342,-15.88342,1,993.6768,993.6768,993.5913,1,8.99414,8.99414,8.75,9,,1,8.9063,0,7.6172,0,4.4531,1,13.2813,1,67.08984,67.08984,70.3125,1,264.375,0,257.3438,0,284.0625,0,0.0391,0,35.51331,9,,1,11.57959,11.57959,11.55945,0,115.3125,0,149.0625,0,13.8281,0,248.9063,0,11.0156,0,10.0781,0,13.4766,0,6.7969,1,14.2969,0,12.7734,1,277.7344,265.4297,277.7344,1,42.14194,41.80025,42.14194,1,27.22142,25.39907,27.22142,2024_62095_zzqc_fugrobuoy.csv,62095_2024
